"","AID","Format","Valid","Fulltext_Available","DOI_Available","Link_Available","RG_Details","Work_Type","row.names","PT","BA","BE","Z2","Y1","AE","Z3","BS","VL","MA","BP","EP","AR","SU","PD","AK","CT","CY","SP","CL"
"25","C025",NA,NA,NA,NA,NA,NA,NA,"J","Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer","","","","","","Research Gate",NA,"","515","515","","","",2010,"","","","",1
"26","C026",NA,NA,NA,NA,NA,NA,NA,"J","Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.","","","History and applications of hydrogels","","","ResearchGate",4,"2","13","23","","","Dec 1",2015,"","","","",2
"27","C027",NA,NA,NA,NA,NA,NA,NA,"J","Clifford, M. N.","","","","","","Researchgate",NA,"","","","","10.13140/RG.2.2.21311.71848","",2017,"","","","",2
"28","C028",NA,NA,NA,NA,NA,NA,NA,"J","Cribb, V.; Orsini-Jones, M.","","","The added value of foreign language knowledge on metalinguistic awareness at university","","","ResearchGate",NA,"","","","","DOI 10.13140/RG.2.1.2080.4968","",2015,"","","","",1
"29","C029",NA,NA,NA,NA,NA,NA,NA,"J","Crippen, G.; Havel, T. F.","","","","","","ResearchGate",NA,"","","","","","",1988,"","","","",1
"30","C030",NA,NA,NA,NA,NA,NA,NA,"J","Dabiri, JO; Gharib, M","","","The role of optimal vortex formation in biological fluid transport","","","ResearchGate",272,"1572","1557","1560","","","",NA,"","","","",1
"31","C031",NA,NA,NA,NA,NA,NA,NA,"J","Dat, L.D.; Thao, N.P.; Luyen, B.T.T.; Tai, B.H.; Jeong, M.H.; Woo, M.H.; Kim, Y.H.","","","Identification of six new lupane-type triterpenoids from Acanthopanax koreanum leaves and their tyrosinase inhibitory activities","","","ResearchGate.",NA,"","","","","","",2015,"","","","",1
"32","C032",NA,NA,NA,NA,NA,NA,NA,"J","de Camargo, MBP; Hubbard, KG","","","Drought sensitivity indices for a sorghum crop","","","JOURNAL OF PRODUCTION AGRICULTURE",12,"2","312","316","","","APR-JUN 1999",1999,"","","","",5
"33","C033",NA,NA,NA,NA,NA,NA,NA,"J","De Bruin, H.; Wang, J.","","","Scintillometry: a review","","","Researchgate",NA,"","","","","","",NA,"","","","",1
"34","C034",NA,NA,NA,NA,NA,NA,NA,"J","Dzmbeg-Malcic, V.; Barbaric-Mikocvic, Z.; Itric, K.","","","Kubelka-Munk theory in describing optical properties of paper (I)","","","ResearchGate",19,"","191","196","","","",2012,"","","","",1
"35","C035",NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.","","","Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics","","","BOREAL ENVIRONMENT RESEARCH",20,"6","679","692","","","DEC 18 2015",2015,"","","","",7
"36","C036",NA,NA,NA,NA,NA,NA,NA,"J","Dheeba, J.; Singh, N. Albert","","","Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study","","","Studies in Computational Intelligence",575,"","397","430","","10.1007/978-3-319-11017-2_16","2015",2015,"","","","",3
"37","C037",NA,NA,NA,NA,NA,NA,NA,"J","Dijkstra, T. K","","","Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt","","","ResearchGate",NA,"","","","","10.13140/RG.2.1.3997.0405","",2011,"","","","",2
"38","C038",NA,NA,NA,NA,NA,NA,NA,"J","Durazo, B. E.; Chavez, C. B. H.; Gonzalez, P. M. E.; Nava, G. B.","","","Estudio descriptivo sobre el consumo de pescados y mariscos en una muestra de la comunidad universitaria en Ensenada, Mexico","","","Researchgate",NA,"11","1","19","","","",2013,"","","","",1
"39","C039",NA,NA,NA,NA,NA,NA,NA,"J","Duvell, F.","","","Ukraine-Europe's Mexico?","","","ResearchGate",NA,"","","","","","",2007,"","","","",6
"40","C040",NA,NA,NA,NA,NA,NA,NA,"J","Fabritsiev, S. A.; Pokrovsky, A. S.; Bagautdinov, R. M.","","","Neutron irradiation effect on the mechanical properties and structure of beryllium","","","ResearchGate",NA,"","1062","1076","","","",1999,"","","","",1
"41","C041",NA,NA,NA,NA,NA,NA,NA,"J","Feizizadeh, B.; Blaschke, T.","","","Examining urban heat island relations to land use and air pollution: multiple endmember spectral mixture analysis for thermal remote sensing","","","Researchgate",3,"6","1","8","","","",2013,"","","","",1
"42","C042",NA,NA,NA,NA,NA,NA,NA,"J","Fernandez-Ruiz, R.","","","Experimental correlation study of the <SUP>7</SUP>Li and <SUP>93</SUP>Nb MAS-NMR signals versus vacant composition in Lithium Niobate","","","ResearchGate",NA,"","","","","","September",2015,"","","","",1
"43","C043",NA,NA,NA,NA,NA,NA,NA,"J","Fourati, S.; Jedidi, W.","","","Some remarks on the class of Bernstein functions and some subclasses","","","ResearchGate Article",NA,"","","","","","",2011,"","","","",1
"44","C044",NA,NA,NA,NA,NA,NA,NA,"J","Fukushima, S.; Yamaguchi, M.; Harusawa, F.","","","Effect of cetostearyl alcohol on stabilization of oil-in-water emulsion: II. Relation between crystal form of the alcohol and stability of the emulsion","","","ResearchGate",59,"","159","165","","","",1977,"","","","",1
"45","C045",NA,NA,NA,NA,NA,NA,NA,"J","Galkin, M.; Auer, S.; Scerri, S.","","","Enterprise Knowledge Graphs: A Backbone of Linked Enterprise Data","","","ResearchGate",NA,"","","","","","May",2016,"","","","",1
"46","C046",NA,NA,NA,NA,NA,NA,NA,"J","Gelsinger, P.; Kirkpatrick, D.; Kolodny, A.; Singer, G.","","","Coping with the Complexity of Microprocessor Design at Intel-A CAD History","","","Researchgate",NA,"","","","","","",NA,"","","","",1
"47","C047",NA,NA,NA,NA,NA,NA,NA,"J","Gener, T.; Reig, R.; Sanchez-Vives, M.V.","","","A new paradigm for the reversible blockage of whisker sensory transmission","","","ResearchGate",176,"","63","67","","","",2008,"","","","",1
"48","C048",NA,NA,NA,NA,NA,NA,NA,"J","Goodhead, D. T.","","","","","","ResearchGate",NA,"","","","","","",2013,"","","","",1
"49","C049",NA,NA,NA,NA,NA,NA,NA,"J","Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan","","","From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task","","","NEUROIMAGE",61,"3","702","714","","10.1016/j.neuroimage.2012.03.087","JUL 2 2012",2012,"","","","",13
"50","C050",NA,NA,NA,NA,NA,NA,NA,"J","Green, Maia","","","Making Africa Middle Class: From Poverty Reduction to the Production of Inequality in Tanzania","","","ResearchGate",2,"2","","","","DOI 10.1002/SEA2.12032","",2015,"","","","",1
"51","C051",NA,NA,NA,NA,NA,NA,NA,"J","Gropler, RJ; Peterson, LR","","","Imaging of Myocardial Metabolism","","","ResearchGate.",NA,"","641","56","","","",2010,"","","","",1
"52","C052",NA,NA,NA,NA,NA,NA,NA,"J","Hafferty, F.; Salloway, J.C.","","","The evolution of medicine as a profession. A 75-year perspective","","","ResearchGate",76,"1","26","35","","","",1993,"","","","",1
"53","C053",NA,NA,NA,NA,NA,NA,NA,"J","Hammer, D; Elby, A; Scherr, RE; Redish, EF","","","Resources, framing, and transfer","","","ResearchGate",NA,"","","","","","",NA,"","","","",1
"54","C054",NA,NA,NA,NA,NA,NA,NA,"J","Harbach, RE","","","The mosquitoes of the subgenus culex in southwestern Asia and Egypt (Diptera: culiciclae)","","","ResearchGate",24,"","1","240","","","",1988,"","","","",1
"55","C055",NA,NA,NA,NA,NA,NA,NA,"J","Hari, R.","","","The neuromagnetic method in the study of the human auditory cortex","","","ResearchGate",6,"","","","","","",1990,"","","","",1
"56","C056",NA,NA,NA,NA,NA,NA,NA,"J","Hartenstein, R","","","The alternative machine paradigm for energy efficient computing","","","ResearchGate",NA,"","113","113","","10.13140/RG.2.2.19501.49124","",2016,"","","","",1
"57","C057",NA,NA,NA,NA,NA,NA,NA,"J","Heldenbrand, SD; Dayer, L; Renna, C","","","Navigating the flooded adherence app marketplace: rating the quality of medication adherence apps","","","ResearchGate",NA,"","","","","","",2015,"","","","",1
"58","C058",NA,NA,NA,NA,NA,NA,NA,"J","Hien, H; Berthe, A; Drabo, MK; Meda, N; Konate, B; Tou, F","","","Husavik energy-multiple use of geothermal energy thermie project nr.ge 321/98/is/dk. Htisavik Energy-Multiple use of geothermal energy Thermie project nr. GE 321/98/IS/DK","","","ResearchGate",19,"11","1328","33","","","",2003,"","","","",1
"59","C059",NA,NA,NA,NA,NA,NA,NA,"J","Hinrichsen, PF","","","Analysis of bi and trifilar suspension oscillations","","","Researchgate",NA,"","64","64","","","",2015,"","","","",1
"60","C060",NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.","","","Improving neural networks by preventing co adaptation of feature detectors","","","ResearchGate",3,"4","212","223","","","",2012,"","","","",61
"61","C061",NA,NA,NA,NA,NA,NA,NA,"J","Hong, Jang; Rani, Han; Song, Shim","","","Expanded polystyrene (eps) buoy as a possible source of hexabromocyclododecanes (HBCDs) in the marine environment","","","ResearchGate",75,"","882","885","","","",2013,"","","","",1
"62","C062",NA,NA,NA,NA,NA,NA,NA,"J","Hu, G.; Liu, C.; Liao, Y.; Yang, L; Huang, R.; Wu, J.; Xie, J.; Bundhoo, K.; Liu, Y.; Bin, J.","","","Ultrasound molecular imaging of arterial thrombi with novel microbubbles modified by cyclic RGD in vitro and in vivo","","","ResearchGate",107,"","172","183","","","",2011,"","","","",1
"63","C063",NA,NA,NA,NA,NA,NA,NA,"J","Iftekhar, S.; Srivastava, V.; Sillanpaa, M.","","","Synthesis and application of LDH intercalated cellulose nanocomposite for separation of rare earth elements (REEs)","","","ResearchGate",NA,"","","","","","",2016,"","","","",1
"64","C064",NA,NA,NA,NA,NA,NA,NA,"J","Jagannathan, L; Cuddapah, S; Costa, M","","","Oxidative stress under ambient and physiological oxygen tension in tissue culture","","","ResearchGate.",NA,"","","","","DOI 10.1007/S40495-016-0050-5","",2016,"","","","",1
"65","C065",NA,NA,NA,NA,NA,NA,NA,"J","Jaiswal, M; Gandhi, A; Sharma, A; Mittal, SR","","","Spectrum of complex non-missile penetrating spinal injury: a series of four cases with review of literature","","","ResearchGate",5,"","25","34","","","",2014,"","","","",1
"66","C066",NA,NA,NA,NA,NA,NA,NA,"J","Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.","","","","","","Research Gate",103,"","1","1","","","",2007,"","","","",1
"67","C067",NA,NA,NA,NA,NA,NA,NA,"J","Johansson, G; Winroth, M","","","Lean vs. Green manufacturing: similarities and differences","","","ResearchGate",NA,"","","","","","",2009,"16th International Annual EurOMA Conference: Implementation-Realizing Operations Management Knowledge","","","",1
"68","C068",NA,NA,NA,NA,NA,NA,NA,"J","Karimov, K. S.; Khalid, F. A.; Chani, M. T. S.; Mateen, A.; Hussain, M. A.; Maqbool, A.","","","Carbon nanotubes based flexible temperature sensors","","","ResearchGate",6,"1","","","","","",NA,"","","","",1
"69","C069",NA,NA,NA,NA,NA,NA,NA,"J","Kelly, O. D.; Anane, A.; Bernard, R.; Youssef, J. B.; Hahn, C.; Molpeceres, A.-H.; Carretero, C.; Jacquet, E.; Deranlot, C.; Bortolotti, P.; Lebourgois, R.; Mage, J.-C.; Loubens, G. de; Klein, O.; Cros, V.; Fert, A.","","","","","","ResearchGate",NA,"","","","","","",2013,"","","","",1
"70","C070",NA,NA,NA,NA,NA,NA,NA,"J","Kharisov, B. I.","","","Dispersion of carbon nanotubes in water and non-aqueous solvents","","","ResearchGate",NA,"","","","","","",NA,"","","","",1
"71","C071",NA,NA,NA,NA,NA,NA,NA,"J","Khitun, A.; Nikonov, D. E.; Bao, M.; Galatsis, K.; Wang, K. L.","","","","","","ResearchGate",NA,"","","","","","",2007,"","","","",1
"72","C072",NA,NA,NA,NA,NA,NA,NA,"J","Kincaid, RL","","","Assessment of trace mineral status of ruminants: a review","","","ResearchGate",NA,"","77","77","","","",1999,"","","","",1
"73","C073",NA,NA,NA,NA,NA,NA,NA,"J","Kleinberg, S. C.; Arroyo, J. E.; Chih, K.; Scherer, S. S.","","","Na, K-ATPase isoforms in the PNS: Cell-type specific expression and internodal localization inmyelinated axons","","","ResearchGate",NA,"","","","","","",2007,"","","","",1
"74","C074",NA,NA,NA,NA,NA,NA,NA,"J","Koch, D.; Buchan, W.; Cnop, T.; Antwerp, U.","","","Proper Pretreatment Systems Reduce Membrane Replacement Element Costs and Improve Reliability","","","ResearchGate",NA,"","","","","","",2005,"","","","",1
"75","C075",NA,NA,NA,NA,NA,NA,NA,"J","Kolobukhina, LV; Nosik, NN; Merkulova, LN","","","Time course of leukocyte interferon induction after single and repeated application of panavir","","","ResearchGate",8,"","49","52","","","",2009,"","","","",1
"76","C076",NA,NA,NA,NA,NA,NA,NA,"J","Kviesis-Kipge, E.; Curkste, E.; Spigulis, J.; Eihvalde, L.","","","","","","ResearchGate",7715,"","2010","2010","","","",2010,"","","","",1
"77","C077",NA,NA,NA,NA,NA,NA,NA,"J","","","","Strukturmodell des Rezeptors","","","ResearchGate",NA,"","","","","","",2014,"","","","",1
"78","C078",NA,NA,NA,NA,NA,NA,NA,"J","Hong, Jooheon","","이대훈","Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic","우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과","한국식품영양과학회지","Journal of the Korean Society of Food Science and Nutrition",44,"5","673","680","","","2015",2015,"","","","",2
"79","C079",NA,NA,NA,NA,NA,NA,NA,"J","Labruto, R.; Leroux, C","","","","","","A green paper on legal issues in robotics",NA,"","","","","","",2013,"","","","",1
"80","C080",NA,NA,NA,NA,NA,NA,NA,"J","Li, L; Luo, Y","","","Improved Video Moving Target Tracking Based on Camshift","","","ResearchGate",3,"2","8","15","","","",2016,"","","","",1
"81","C081",NA,NA,NA,NA,NA,NA,NA,"J","Lim, S.-J.; Jeong, Y.-Y.; Lee, C.-W.; Ho, Y.-S.","","","Automatic segmentation of the liver in CT images using the watershed algorithm based on morphological filtering","","","ResearchGate",NA,"","","","","","(May) (",2004,"","","","",1
"82","C082",NA,NA,NA,NA,NA,NA,NA,"J","Linden, PF; Turner, JS","","","The formation of optimal vortex rings, and the efficiency of propulsion devices","","","ResearchGate",427,"","61","72","","","",NA,"","","","",1
"83","C083",NA,NA,NA,NA,NA,NA,NA,"J","Liste, H.-H.; Felgentreu, D.","","","Crop growth, culturable bacteria, and degradation of petrol hydrocarbons (PHCs) in a long-term contaminated field soil","","","ResearchGate",NA,"","","","","","",2006,"","","","",1
"84","C084",NA,NA,NA,NA,NA,NA,NA,"J","Liu, B.; Wildman, R.; Tuck, C.; Ashcroft, I.; Hague, R.","","","Investigaztion the effect of particle size distribution on processing parameters optimisation in selective laser melting process","","","ResearchGate",NA,"","","","","","Jan.",2011,"","","","",1
"85","C085",NA,NA,NA,NA,NA,NA,NA,"J","Lopez-Lazaro, M.","","","","","","Pancreatic cancer formation is gradual",NA,"","","","","","",2017,"","","","",1
"86","C086",NA,NA,NA,NA,NA,NA,NA,"J","Lopez-Lazaro, M","","","Understanding cancer: 15 questions and answers","","","ResearchGate",NA,"","","","","","",2016,"","","","",1
"87","C087",NA,NA,NA,NA,NA,NA,NA,"J","Lujan-Tangarife, J. A.; Cardona-Arias, J. A.","","","Construction and validation of measurement scales in health: a review of psychometric properties","","","ResearchGate",11,"","1","10","","","",2015,"","","","",1
"88","C088",NA,NA,NA,NA,NA,NA,NA,"J","Margolin, L.","","","","","","ResearchGate",1,"","1","28","","","",2013,"","","","",1
"89","C089",NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter","","","Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces","","","SURFACE & COATINGS TECHNOLOGY",201,"3-4","1282","1288","","10.1016/j.surfcoat.2006.01.062","OCT 5 2006",2006,"","","","",11
"90","C090",NA,NA,NA,NA,NA,NA,NA,"J","Marquardt, W.","","","","","","Traveling Waves in Chemical Processes",30,"4","585","606","","","",1990,"","","","",1
"91","C091",NA,NA,NA,NA,NA,NA,NA,"J","Mateljevic, M.","","","Note on rigidty of holomorphic mappings & Schwarz and Jack lemma","","","ResearchGate",NA,"","","","","","September",2015,"","","","",1
"92","C092",NA,NA,NA,NA,NA,NA,NA,"J","Matveev, V","","","What is your opinion on this paper?","","","Researchgate",NA,"","","","","","",2014,"","","","",1
"93","C093",NA,NA,NA,NA,NA,NA,NA,"J","McRobie, A","","","","","","Rankine reciprocals with zero bars",NA,"","","","","","",2017,"","","","",3
"94","C094",NA,NA,NA,NA,NA,NA,NA,"J","Meier, ML","","","Using X-ray diffraction to measure changes in unit cell dimensions due to alloying","","","ResearchGate",NA,"","","","","","",2004,"","","","",2
"95","C095",NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.","","","Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study","","","JOURNAL OF INVESTIGATIVE DERMATOLOGY",134,"","S30","S30","","","SEP 2014",2014,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9
"96","C096",NA,NA,NA,NA,NA,NA,NA,"J","Meyer, E.","","","Massive Open Oline Courses (MOOCS): a research brief","","","ResearchGate",NA,"","","","","10.13140/RG.2.1.4430.6406","",2015,"","","","",1
"97","C097",NA,NA,NA,NA,NA,NA,NA,"J","Na, K; Chaves, A; Pellegrino, JP","","","A simple device for quantitative stool thick-smear technique in Schistomiasis mansoni","","","ResearchGate",14,"","397","400","","","",1971,"","","","",1
"98","C098",NA,NA,NA,NA,NA,NA,NA,"J","Naranjo-Madrigal, H.","","","Bajos Pesqueros en el Pacifico Norte de Costa Rica: Importancia ecologi-ca e implicaciones socio-economicas y de manejo","","","Researchgate. net.",NA,"","","","","10.13140/RG.2.1.4326.2965","",2016,"","","","",1
"99","C099",NA,NA,NA,NA,NA,NA,NA,"J","Ng, K.H.; Faust, O.; Sudarshan, V.; Chattopadhyay, S.","","","Data overloading in medical imaging: emerging issues, challenges and opportunities in efficient data management","","","ResearchGate",5,"4","","","","","August",2015,"","","","",1
"100","C100",NA,NA,NA,NA,NA,NA,NA,"J","Norman, L; Thomas, DN","","","Long-term storage of riverine dissolved organic carbon. Technical note","","","ResearchGate.",NA,"","","","","10.13140/2.1.3331.5200","",2014,"","","","",1
"101","C101",NA,NA,NA,NA,NA,NA,NA,"J","Norman, L.; Thomas, D. N.","","","Long-term storage of riverine dissolved organic carbon, Technical note","","","Researchgate",NA,"","","","","10.13140/2.1.3331.5200","",2014,"","","","",1
"102","C102",NA,NA,NA,NA,NA,NA,NA,"J","Nzihou, Ange; Stanmore, B. R.","","","The Formation of Aerosols During the Co-combustion of Coal and Biomass","","","WASTE AND BIOMASS VALORIZATION",6,"6","947","957","","10.1007/s12649-015-9390-3","DEC 2015",2015,"","","","",2
"103","C103",NA,NA,NA,NA,NA,NA,NA,"J","Oetzel, M.; Heger, G.; Koslowski, T.","","","Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20","","","ResearchGate",53,"","254","361","","","",2000,"","","","",1
"104","C104",NA,NA,NA,NA,NA,NA,NA,"J","Omboni, S.; Isasti, G.","","","How to Measure Interbeat Interval in Human Patients","","","ResearchGate",NA,"","","","","","Jan. 18,",2013,"","","","",1
"105","C105",NA,NA,NA,NA,NA,NA,NA,"J","O'Reilly-Shah, V; Mackey, S","","","","","","ResearchGate",NA,"","","","","","",2011,"","","","",1
"106","C106",NA,NA,NA,NA,NA,NA,NA,"J","Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.","","","Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation","","","ResearchGate",NA,"","","","","","",2005,"","","","",1
"107","C107",NA,NA,NA,NA,NA,NA,NA,"J","[Anonymous]","","","Clay pan, 'Is China an Emerging Sanctioning State?","","","ResearchGate",NA,"","","","","","December",2012,"","","","",1
"108","C108",NA,NA,NA,NA,NA,NA,NA,"J","Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.","","","Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III","","","ResearchGate",NA,"","8","19","","","",2014,"","","","",1
"109","C109",NA,NA,NA,NA,NA,NA,NA,"J","Petch, N.J.","","","The cleavage strength of polycrystals","","","ResearchGate",173,"","25","28","","","",1953,"","","","",1
"110","C110",NA,NA,NA,NA,NA,NA,NA,"J","Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A","","","Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant","","","ResearchGate",4,"","","","","","",2002,"","","","",1
"111","C111",NA,NA,NA,NA,NA,NA,NA,"J","Popova, NA; Sheka, EF","","","Mechanochemical reaction in graphane under uniaxial tension","","","Researchgate",NA,"","","","","","",2011,"","","","",1
"112","C112",NA,NA,NA,NA,NA,NA,NA,"J","Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J","","","Trajectory of body weight of performance tested dual-purpose bulls.","","","ResearchGate",52,"","","","","","",2007,"","","","",1
