,AID,Format,Valid,Fulltext_Available,DOI_Available,Link_Available,RG_Details,Work_Type,row.names,PT,BA,BE,Z2,Y1,AE,Z3,BS,VL,MA,BP,EP,AR,SU,PD,AK,CT,CY,SP,CL
35,A035,NA,NA,NA,NA,NA,NA,NA,J,BRADBURY IR,,,,,,RESEARCHGATE,340,,245,,,,,2007,,,,,1
36,A036,NA,NA,NA,NA,NA,NA,NA,J,"Brakel, Van J.",,,Mass transfer in convective drying,,,ResearchGate,1,,217,267,,,,1980,,,,,1
37,A037,NA,NA,NA,NA,NA,NA,NA,J,"Brocca, L.; Ciabatta, L.; Massari, C.; Hahn, S.; Wagner, W.",,,SM2RAIN-ASCAT (1 Jan 2007-30 June 2015) global daily rainfall dataset,,,ResearchGate,,,,,,10.13140/RG.2.1.4434.8563,,2016,,,,,1
38,A038,NA,NA,NA,NA,NA,NA,NA,J,"Brunick, KL; Cutting, JE",,,"Coloring the animated world, Exploring human color perception and preference through the animated film",,,ResearchGate,43,2,41,45,,,,2016,,,,,1
39,A039,NA,NA,NA,NA,NA,NA,NA,J,"Camara, F.; Hormigo, T.",,,A Hybrid Camera-Lidar Hazard Detection and Avoidance System for Lunar Landing,,,ResearchGate,,,,,,,,2011,,,,,1
40,A040,NA,NA,NA,NA,NA,NA,NA,J,"Cameron, G.",,,Innovation and Growth: A Survey of the Empirical Evidence,,,ResearchGate,,,,,,,Jan.,1998,,,,,1
41,A041,NA,NA,NA,NA,NA,NA,NA,J,"CAMPUZANO, R.",,,Evaluacion del periodo de espera voluntario en vacas especializadas en produccion de leche,,,ResearchGate,,,,,,,,2007,,,,,1
42,A042,NA,NA,NA,NA,NA,NA,NA,J,"Champlain, A. F. D.; Gessaroli, M. E.; Tang, K. L.; Champlain, J. E. D.",,,Assessing the dimensionality of polytomous item responses with small sample sizes and short test lengths: A comparison of procedures,,,ResearchGate,,,,,,,,1999,,,,,1
43,A043,NA,NA,NA,NA,NA,NA,NA,J,"Chaslot, G; Bakkes, S; Szita, I; Spronck, P",,,Monte-Carlo Tree Search: A New Framework for Game AI,,,ResearchGate,,,,,,,,2008,,,,,1
44,A044,NA,NA,NA,NA,NA,NA,NA,J,"Chatterjee, N.; Bhattacharjee, B.; Chatterjee, N.",,,"Quantitative study on the impact of the seasonal change in the aquatic physicochemical parameters on zooplankton population density in Saheb bandh, Purulia, West Bengal, India",,,ResearchGate,,,11,19,,,,2015,,,,,1
45,A045,NA,NA,NA,NA,NA,NA,NA,J,"Chaudhary, M; Payasi, A.",,,"Clinical, microbial efficacy and tolerability of Elores, a novel antibiotic adjuvant entity in ESBL producing pathogens: prospective randomized controlled clinical trial",,,ResearchGate,7,,275,80,,,,2013,,,,,3
46,A046,NA,NA,NA,NA,NA,NA,NA,J,"Chen, G. Z.",,,,,,ResearchGate,,,,,,,,2015,,,,,1
47,A047,NA,NA,NA,NA,NA,NA,NA,J,"Chen, Yen-Liang; Chiang, Mei-Ching; Ko, Ming-Tat",,,Discovering time-interval sequential patterns in sequence databases,,,Researchgate,,,,,,,,2003,,,,,1
48,A048,NA,NA,NA,NA,NA,NA,NA,J,"Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer",,,,,,Research Gate,,,515,515,,,,2010,,,,,1
49,A049,NA,NA,NA,NA,NA,NA,NA,J,"Chiejina, E.",,,A Dynamic Reputation Management System for Mobile Adhoc Networks,,,ResearchGate,,,,,,,,2015,,,,,1
50,A050,NA,NA,NA,NA,NA,NA,NA,J,"Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.",,,History and applications of hydrogels,,,ResearchGate,4,2,13,23,,,1-Dec,2015,,,,,2
51,A051,NA,NA,NA,NA,NA,NA,NA,J,"Clifford, M. N.",,,,,,Researchgate,,,,,,10.13140/RG.2.2.21311.71848,,2017,,,,,2
52,A052,NA,NA,NA,NA,NA,NA,NA,J,"Coban, O.; Ozyer, B.; Ozyer, G. T.",,,Sentiment Analysis for Turkish Twitter Feeds,,,ResearchGate,,,,,,,,2015,,,,,1
53,A053,NA,NA,NA,NA,NA,NA,NA,J,"Crippen, G.; Havel, T. F.",,,,,,ResearchGate,,,,,,,,1988,,,,,1
54,A054,NA,NA,NA,NA,NA,NA,NA,J,"Dabiri, JO; Gharib, M",,,The role of optimal vortex formation in biological fluid transport,,,ResearchGate,272,1572,1557,1560,,,,NA,,,,,1
55,A055,NA,NA,NA,NA,NA,NA,NA,J,"Daemen, J.; Rijmen, V.",,,Resistance against implementation attacks A comparative study of the AES proposals,,,ResearchGate,,,,,,,,NA,,,,,1
56,A056,NA,NA,NA,NA,NA,NA,NA,J,"Dat, L.D.; Thao, N.P.; Luyen, B.T.T.; Tai, B.H.; Jeong, M.H.; Woo, M.H.; Kim, Y.H.",,,Identification of six new lupane-type triterpenoids from Acanthopanax koreanum leaves and their tyrosinase inhibitory activities,,,ResearchGate.,,,,,,,,2015,,,,,1
57,A057,NA,NA,NA,NA,NA,NA,NA,J,"De Bruin, H.; Wang, J.",,,Scintillometry: a review,,,Researchgate,,,,,,,,NA,,,,,1
58,A058,NA,NA,NA,NA,NA,NA,NA,J,"de Camargo, MBP; Hubbard, KG",,,Drought sensitivity indices for a sorghum crop,,,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,,,APR-JUN 1999,1999,,,,,5
59,A059,NA,NA,NA,NA,NA,NA,NA,J,"De, R.; Mahapatra, R. P.; Chakraborty, P. S.",,,Exploring and Expanding the World of Artificial Intelligence,,,ResearchGate,,,,,,DOI 10.5120/IJCA2016907802,January,2016,,,,,1
60,A060,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",,,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,,,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,,,DEC 18 2015,2015,,,,,7
61,A061,NA,NA,NA,NA,NA,NA,NA,J,"Dhall, Abhinav",,,Video And Image Based Emotion Recognition Challenges In The Wild: Emotiw 2015.,,,ResearchGate,,,,,,,,2015,,,,,1
62,A062,NA,NA,NA,NA,NA,NA,NA,J,"Dheeba, J.; Singh, N. Albert",,,Computer Aided Intelligent Breast Cancer Detection: Second Opinion for Radiologists-A Prospective Study,,,Studies in Computational Intelligence,575,,397,430,,10.1007/978-3-319-11017-2_16,2015,2015,,,,,3
63,A063,NA,NA,NA,NA,NA,NA,NA,J,"Dijkstra, T. K",,,"Consistent partial least squares estimators for linear and polynomial factor models. A report of a belated, serious and not even unsuccessful attempt",,,ResearchGate,,,,,,10.13140/RG.2.1.3997.0405,,2011,,,,,2
64,A064,NA,NA,NA,NA,NA,NA,NA,J,"Dookhitram, K.; Narsoo, J.; Sunhaloo, M. S.; Sukhoo, A.; Soobron, M.",,,"Green Computing: An Awareness Survey among University of Technology, Mauritius Students",,,ResearchGate,,,1,8,,,,2012,,,,,1
65,A065,NA,NA,NA,NA,NA,NA,NA,J,"Durazo, B. E.; Chavez, C. B. H.; Gonzalez, P. M. E.; Nava, G. B.",,,"Estudio descriptivo sobre el consumo de pescados y mariscos en una muestra de la comunidad universitaria en Ensenada, Mexico",,,Researchgate,,11,1,19,,,,2013,,,,,1
66,A066,NA,NA,NA,NA,NA,NA,NA,J,"Dzmbeg-Malcic, V.; Barbaric-Mikocvic, Z.; Itric, K.",,,Kubelka-Munk theory in describing optical properties of paper (I),,,ResearchGate,19,,191,196,,,,2012,,,,,1
67,A067,NA,NA,NA,NA,NA,NA,NA,J,"Emekwuru, NG; Hall, FR; Spence, PJ",,,Approaches to modelling the effects of energy retrofits in buildings,,,ResearchGate,,,1,11,,,,2015,,,,,1
68,A068,NA,NA,NA,NA,NA,NA,NA,J,"Fabritsiev, S. A.; Pokrovsky, A. S.; Bagautdinov, R. M.",,,Neutron irradiation effect on the mechanical properties and structure of beryllium,,,ResearchGate,,,1062,1076,,,,1999,,,,,1
69,A069,NA,NA,NA,NA,NA,NA,NA,J,"Fan, J.; Han, F.; Liu, H.",,,Challenges of Big Data Analysis.,,,ResearchGate,1,1,1,38,,,,2013,,,,,1
70,A070,NA,NA,NA,NA,NA,NA,NA,J,"Farauta, B. K.; Egbule, C. L.; Agwu, A. E.; Idrisa, Y. L.; Onyekuru, N. A.",,,Farmers' Adaptation Initiatives to the Impact of Climate Change on Agriculture in Northern Nigeria,,,JOURNAL OF AGRICULTURAL EXTENSION,16,1,132,144,,10.4314/jae.v16i1.13,Jun-12,2012,,,,,9
71,A071,NA,NA,NA,NA,NA,NA,NA,J,"Feizizadeh, B.; Blaschke, T.",,,Examining urban heat island relations to land use and air pollution: multiple endmember spectral mixture analysis for thermal remote sensing,,,Researchgate,3,6,1,8,,,,2013,,,,,1
72,A072,NA,NA,NA,NA,NA,NA,NA,J,"Fernandez-Ruiz, R.",,,Experimental correlation study of the <SUP>7</SUP>Li and <SUP>93</SUP>Nb MAS-NMR signals versus vacant composition in Lithium Niobate,,,ResearchGate,,,,,,,September,2015,,,,,1
73,A073,NA,NA,NA,NA,NA,NA,NA,J,"Flann, N.; Xu, B.; Recker, M.; Qi, X.; Ye, L.",,,Clustering Educational Digital Library Usage Data: A Comparison of Latent Class Analysis and K-means Algorithms,,,ResearchGate,5,2,,,,,Aug.,2013,,,,,1
74,A074,NA,NA,NA,NA,NA,NA,NA,J,"Forshaw, SD",,,Memory of a universal mind. Galactic structures and their existence as cognitive operators in an emerging universally conscious machine,,,ResearchGate,,,,,309209078,,,2016,,,,,1
75,A075,NA,NA,NA,NA,NA,NA,NA,J,"Fotiadis, Dimitrios I; Glaros, Constantine; Likas, Aristidis",,,Wearable Medical Devices,,,ResearchGate,,,3816,3827,,,April,2006,,,,,1
76,A076,NA,NA,NA,NA,NA,NA,NA,J,"Fourati, S.; Jedidi, W.",,,Some remarks on the class of Bernstein functions and some subclasses,,,ResearchGate Article,,,,,,,,2011,,,,,1
77,A077,NA,NA,NA,NA,NA,NA,NA,J,"Fukushima, S.; Yamaguchi, M.; Harusawa, F.",,,Effect of cetostearyl alcohol on stabilization of oil-in-water emulsion: II. Relation between crystal form of the alcohol and stability of the emulsion,,,ResearchGate,59,,159,165,,,,1977,,,,,1
78,A078,NA,NA,NA,NA,NA,NA,NA,J,"Gajsek, B.; Dukic, G.",,,Review of ergonomics solutions to protect from injuries of lower back in case of forklifts.,,,Researchgate,,,,,,,,2015,,,,,1
79,A079,NA,NA,NA,NA,NA,NA,NA,J,"Galkin, M.; Auer, S.; Scerri, S.",,,Enterprise Knowledge Graphs: A Backbone of Linked Enterprise Data,,,ResearchGate,,,,,,,May,2016,,,,,1
80,A080,NA,NA,NA,NA,NA,NA,NA,J,"Gelsinger, P.; Kirkpatrick, D.; Kolodny, A.; Singer, G.",,,Coping with the Complexity of Microprocessor Design at Intel-A CAD History,,,Researchgate,,,,,,,,NA,,,,,1
81,A081,NA,NA,NA,NA,NA,NA,NA,J,"Gener, T.; Reig, R.; Sanchez-Vives, M.V.",,,A new paradigm for the reversible blockage of whisker sensory transmission,,,ResearchGate,176,,63,67,,,,2008,,,,,1
82,A082,NA,NA,NA,NA,NA,NA,NA,J,"Godin, C.; Prost-Boucle, F.; Campagne, A.; Charbonnier, S.; Bonnet, S.; Vidal, A.",,,Selection of the most relevant physiological features for classifying emotion,,,ResearchGate,,,,,,,,2015,,,,,4
83,A083,NA,NA,NA,NA,NA,NA,NA,J,"Goodhead, D. T.",,,,,,ResearchGate,,,,,,,,2013,,,,,1
84,A084,NA,NA,NA,NA,NA,NA,NA,J,"Gordillo, G.; Hurtado, M. F.; becerra, R. A.; Cruz, S. D.; Ramirez, E. A.; Oyola, J. S.; Lauermann, Iver.",,,comparison study of CZTS thin films grown using vacuum and solution based methods,,,ResearchGate,,,1704,1708,,,,2014,,,,,1
85,A085,NA,NA,NA,NA,NA,NA,NA,J,"Goyal, S. K.; Singh, M.",,,Adaptive and Dynamic Load Balancing in Grid Using Ant Colony Optimization,,,ResearchGate,4,4,,,,,Aug.,2012,,,,,1
86,A086,NA,NA,NA,NA,NA,NA,NA,J,"Graham, J.; Shillcutt, K.",,,Robot Tracking of Human Subjects in Field Environments,,,ResearchGate,,,,,,,,2003,,,,,1
87,A087,NA,NA,NA,NA,NA,NA,NA,J,"Grande, Marion; Meffert, Elisabeth; Schoenberger, Eva; Jung, Stefanie; Frauenrath, Tobias; Huber, Walter; Hussmann, Katja; Moormann, Mareike; Heim, Stefan",,,From a concept to a word in a syntactically complete sentence: An fMRI study on spontaneous language production in an overt picture description task,,,NEUROIMAGE,61,3,702,714,,10.1016/j.neuroimage.2012.03.087,JUL 2 2012,2012,,,,,13
88,A088,NA,NA,NA,NA,NA,NA,NA,J,"Graves, A.",,,Offline handwriting recognition with multidimensional recurrent neural networks,,,ResearchGate,,,,,,,,2008,,,,,1
89,A089,NA,NA,NA,NA,NA,NA,NA,J,"Gropler, RJ; Peterson, LR",,,Imaging of Myocardial Metabolism,,,ResearchGate.,,,641,56,,,,2010,,,,,1
90,A090,NA,NA,NA,NA,NA,NA,NA,J,"Guinard, D.; Trifa, V.; Guinard, D.",,,Towards the web of things: web mashups for embedded devices,,,ResearchGate,,,,,,,,2009,,,,,1
91,A091,NA,NA,NA,NA,NA,NA,NA,J,"Gumbel, E. J.",,,,,,Distributions des Valeurs Extremes en Plusiers Dimensions,,,,,,,,1960,,,,,1
92,A092,NA,NA,NA,NA,NA,NA,NA,J,"Hafferty, F.; Salloway, J.C.",,,The evolution of medicine as a profession. A 75-year perspective,,,ResearchGate,76,1,26,35,,,,1993,,,,,1
93,A093,NA,NA,NA,NA,NA,NA,NA,J,"Haklay, Muki; Budhathoki, Nama",,,OpenStreetMap-Overview and Motivational Factors,,,ResearchGate,,,,,,,,NA,,,,,1
94,A094,NA,NA,NA,NA,NA,NA,NA,J,"Hammer, D; Elby, A; Scherr, RE; Redish, EF",,,"Resources, framing, and transfer",,,ResearchGate,,,,,,,,NA,,,,,1
95,A095,NA,NA,NA,NA,NA,NA,NA,J,"Harbach, RE",,,The mosquitoes of the subgenus culex in southwestern Asia and Egypt (Diptera: culiciclae),,,ResearchGate,24,,1,240,,,,1988,,,,,1
96,A096,NA,NA,NA,NA,NA,NA,NA,J,"Hari, R.",,,The neuromagnetic method in the study of the human auditory cortex,,,ResearchGate,6,,,,,,,1990,,,,,1
97,A097,NA,NA,NA,NA,NA,NA,NA,J,"Hartenstein, R",,,The alternative machine paradigm for energy efficient computing,,,ResearchGate,,,113,113,,10.13140/RG.2.2.19501.49124,,2016,,,,,1
98,A098,NA,NA,NA,NA,NA,NA,NA,J,"Heldenbrand, SD; Dayer, L; Renna, C",,,Navigating the flooded adherence app marketplace: rating the quality of medication adherence apps,,,ResearchGate,,,,,,,,2015,,,,,1
99,A099,NA,NA,NA,NA,NA,NA,NA,J,"Hewavitharana, S.; Fernando, H. C.",,,A two stage classification approach to tamil handwriting recognition,,,ResearchGate,,,,,,,Jan.,2009,,,,,1
100,A100,NA,NA,NA,NA,NA,NA,NA,J,"Hien, H; Berthe, A; Drabo, MK; Meda, N; Konate, B; Tou, F",,,Husavik energy-multiple use of geothermal energy thermie project nr.ge 321/98/is/dk. Htisavik Energy-Multiple use of geothermal energy Thermie project nr. GE 321/98/IS/DK,,,ResearchGate,19,11,1328,33,,,,2003,,,,,1
101,A101,NA,NA,NA,NA,NA,NA,NA,J,"Hinrichsen, PF",,,Analysis of bi and trifilar suspension oscillations,,,Researchgate,,,64,64,,,,2015,,,,,1
102,A102,NA,NA,NA,NA,NA,NA,NA,J,"Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",,,Improving neural networks by preventing co adaptation of feature detectors,,,ResearchGate,3,4,212,223,,,,2012,,,,,66
103,A103,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jang; Rani, Han; Song, Shim",,,Expanded polystyrene (eps) buoy as a possible source of hexabromocyclododecanes (HBCDs) in the marine environment,,,ResearchGate,75,,882,885,,,,2013,,,,,1
104,A104,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jooheon",,이대훈,Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic,우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과,한국식품영양과학회지,Journal of the Korean Society of Food Science and Nutrition,44,5,673,680,,,2015,2015,,,,,2
105,A105,NA,NA,NA,NA,NA,NA,NA,J,"Hu, G.; Liu, C.; Liao, Y.; Yang, L; Huang, R.; Wu, J.; Xie, J.; Bundhoo, K.; Liu, Y.; Bin, J.",,,Ultrasound molecular imaging of arterial thrombi with novel microbubbles modified by cyclic RGD in vitro and in vivo,,,ResearchGate,107,,172,183,,,,2011,,,,,1
106,A106,NA,NA,NA,NA,NA,NA,NA,J,"Huang, Y.L.; Fuh, C.S.",,,Noise reduction using enhanced bilateral filter,,,Researchgate,12,4,46,53,,,,2006,,,,,1
107,A107,NA,NA,NA,NA,NA,NA,NA,J,"Iftekhar, S.; Srivastava, V.; Sillanpaa, M.",,,Synthesis and application of LDH intercalated cellulose nanocomposite for separation of rare earth elements (REEs),,,ResearchGate,,,,,,,,2016,,,,,1
108,A108,NA,NA,NA,NA,NA,NA,NA,J,"Indrabayu, N.; Harun, M. S.; Pallu; Achmad, A.",,,Statistic Approach versus Artificial Intelligence for Rainfall Prediction Based on Data Series,,,ResearchGate,5,2,1962,1969,,,Apr.,2013,,,,,1
109,A109,NA,NA,NA,NA,NA,NA,NA,J,"Irina, R.; Joseph, H.; Jayram, T.",,,An analysis of data characteristics that affect naive Bayes performance,,,ResearchGate,,,,,,,,2001,,,,,1
110,A110,NA,NA,NA,NA,NA,NA,NA,J,"Iryanto, I.; Hermawan; Syakur, A.",,,Studi Pengaruh Penuaan (Aging) Terhadap Laju Degradasi Kualitas Minyak Isolasi Transformator Tenaga,,,ResearchGate,,,,,,,Januari,2016,,,,,1
111,A111,NA,NA,NA,NA,NA,NA,NA,J,"Jagannathan, L; Cuddapah, S; Costa, M",,,Oxidative stress under ambient and physiological oxygen tension in tissue culture,,,ResearchGate.,,,,,,DOI 10.1007/S40495-016-0050-5,,2016,,,,,1
112,A112,NA,NA,NA,NA,NA,NA,NA,J,"Jaiswal, M; Gandhi, A; Sharma, A; Mittal, SR",,,Spectrum of complex non-missile penetrating spinal injury: a series of four cases with review of literature,,,ResearchGate,5,,25,34,,,,2014,,,,,1
113,A113,NA,NA,NA,NA,NA,NA,NA,J,"Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.",,,,,,Research Gate,103,,1,1,,,,2007,,,,,1
114,A114,NA,NA,NA,NA,NA,NA,NA,J,"Jezerek, M.; Flear, M.; Moina, J.",,,Laser multiple line triangulation system for real-time 3-D monitoring of chest wall during breathing,,,ResearchGate,54,7,,,503506,,Jan.,2008,,,,,1
115,A115,NA,NA,NA,NA,NA,NA,NA,J,"Johansson, G; Winroth, M",,,Lean vs. Green manufacturing: similarities and differences,,,ResearchGate,,,,,,,,2009,16th International Annual EurOMA Conference: Implementation-Realizing Operations Management Knowledge,,,,1
116,A116,NA,NA,NA,NA,NA,NA,NA,J,"Kao, K. L.",,,An advanced simulation tool- set for video transmission performance evaluation,,,ResearchGate,,,,,,DOI 10.1145/1190455.1190464,,2006,,,,,1
117,A117,NA,NA,NA,NA,NA,NA,NA,J,"Karimov, K. S.; Khalid, F. A.; Chani, M. T. S.; Mateen, A.; Hussain, M. A.; Maqbool, A.",,,Carbon nanotubes based flexible temperature sensors,,,ResearchGate,6,1,,,,,,NA,,,,,1
