CID,AID,CitedAs,Locatable,PT,AU,BA,BE,GP,AF,BF,TI,SO,SE,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
C142,A093,Title,Yes,B,"Hemapriya, D; Viswanath, P; Mithra, VM; Nagalakshmi, S; Umarani, G",NA,"Porkumaran, K; Prabakar, S; Jaganathan, S",NA,"Hemapriya, D.; Viswanath, Pavithra; Mithra, V. M.; Nagalakshmi, S.; Umarani, G.",NA,Wearable Medical Devices- Design Challenges and Issues,2017 IEEE INTERNATIONAL CONFERENCE ON INNOVATIONS IN GREEN ENERGY AND HEALTHCARE TECHNOLOGIES (IGEHT),NA,English,Proceedings Paper,IEEE International Conference on Innovations in Green Energy and Healthcare Technologies (IGEHT),"MAR 16-18, 2017","Coimbatore, INDIA","IEEE, Florida Atlantic Univ, KMCH, IEEE Madras Sect, N G P Inst Technol, Dept Elect & Elect Engn, N G P Inst Technol, Dept Biomed Engn",NA,Wearable Medical Devices; Health Monitoring And Support; Serious Patient Condition; Design Issues,NA,"A Wearable Medical Device is defined as a device that is autonomous, noninvasive and that performs a specific medical function such as monitoring or support over a prolonged period of time. The term wearable implies that the device is either supported by the human body or clothing. This decade has seen a tremendous growth in the use of wearable medical devices and these fall into three categories namely, wearable monitoring devices, wearable rehabilitation devices and wearable medical aids. For example, wearable medical aid devices are designed to provide long-term assistance to patients with temporary or permanent disabilities. Patients can constantly monitor several vital signs such as ECG (Electrocardiography), respiration, skin temperature, pulse, blood pressure, body kinematics, etc. Medical aid can be immediately provided when any sign is abnormal and save a life. Health conscious people are more aware of the existence of these devices and are using them extensively. This paper reviews the devices available for use and focuses on the design aspects of these wearable devices from a biomedical engineering point of view and an attempt is made to provide some suggestions for improvised designs from utility point of view.","[Hemapriya, D.; Viswanath, Pavithra; Mithra, V. M.; Nagalakshmi, S.; Umarani, G.] Dr NGP Engn Coll, Biomed Engn, Coimbatore, Tamil Nadu, India","Hemapriya, D (reprint author), Dr NGP Engn Coll, Biomed Engn, Coimbatore, Tamil Nadu, India.",d.hemapriya@gmail.com; pavivish98@gmail.com,NA,NA,NA,NA,13,0,0,3,3,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",NA,NA,978-1-5090-5778-8,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Engineering, Biomedical; Engineering, Electrical & Electronic; Public, Environmental & Occupational Health","Science & Technology - Other Topics; Engineering; Public, Environmental & Occupational Health",BJ5GJ,WOS:000425885600061,NA,NA,NA,NA,9/30/2018
C143,A094,URL;Title,Yes,J,"Qi, F",NA,NA,NA,"Qi, Feng",NA,Integral representations for multivariate logarithmic polynomials,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,NA,English,Article,NA,NA,NA,NA,NA,Multivariate logarithmic polynomial; Generating function; Completely monotonic function; Bernstein function; Integral representation; Levy-Khintchine representation,2ND KIND,"In the paper, by induction and recursively, the author proves that the generating function of multivariate logarithmic polynomials and its reciprocal are a Bernstein function and a completely monotonic function respectively, establishes a Levy-Khintchine representation for the generating function of multivariate logarithmic polynomials, deduces an integral representation for multivariate logarithmic polynomials, presents an integral representation for the reciprocal of the generating function of multivariate logarithmic polynomials, computes real and imaginary parts for the generating function of multivariate logarithmic polynomials, derives two integral formulas, and denies the uniform convergence of a known integral representation for Bernstein functions. (C) 2017 Elsevier B.V. All rights reserved.","[Qi, Feng] Henan Polytech Univ, Inst Math, Jiaozuo 454010, Henan, Peoples R China; [Qi, Feng] Inner Mongolia Univ Nationalities, Coll Math, Tongliao 028043, Inner Mongolia, Peoples R China; [Qi, Feng] Tianjin Polytech Univ, Coll Sci, Dept Math, Tianjin 300387, Peoples R China","Qi, F (reprint author), Henan Polytech Univ, Inst Math, Jiaozuo 454010, Henan, Peoples R China.",qifeng618@gmail.com,"Qi, Feng/G-2455-2012","Qi, Feng/0000-0001-6239-2968",NA,NA,18,0,0,6,12,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0377-0427,1879-1778,NA,J COMPUT APPL MATH,J. Comput. Appl. Math.,JUL,2018,336,NA,NA,NA,NA,54,62,NA,10.1016/j.cam.2017.11.047,NA,NA,NA,9,"Mathematics, Applied",Mathematics,FW8FP,WOS:000425565100004,NA,NA,NA,NA,9/30/2018
C144,A095,Title,Yes,J,"Terescenco, D; Savary, G; Clemenceau, F; Merat, E; Duchemin, B; Grisel, M; Picard, C",NA,NA,NA,"Terescenco, Dania; Savary, Geraldine; Clemenceau, Florence; Merat, Emmanuelle; Duchemin, Benoit; Grisel, Michel; Picard, Celine",NA,The alkyl polyglucoside/fatty alcohol ratio effect on the formation of liquid crystal phases in binary systems,JOURNAL OF MOLECULAR LIQUIDS,NA,English,Article,NA,NA,NA,NA,NA,Surfactant; Alkyl polyglucoside; Lyotropic liquid crystals; alpha-Gel; WARD; Auto-emulsion; Molecular organization,AMPLITUDE OSCILLATORY SHEAR; VIVO SKIN PERFORMANCE; FATTY ALCOHOLS; AQUEOUS-SOLUTIONS; BEHAVIOR; SURFACTANT; LAMELLAR; EMULSIONS; CREAMS; WATER,"The present research focuses on the alkyl polyglucoside, a non-ionic surfactant, in combination with a fatty alcohol of the same chain length used as a co-surfactant. A series of solutions were prepared, with varying both APG/FA ratio and its concentration in water. Different structures were then obtained, depending on these two parameters: aqueous micellar solutions, normal hexagonal liquid crystalline phase, a-gel phase, as well as the mixture of normal hexagonal/alpha-gel phases. A specific term auto-emulsion was introduced to describe the pseudo emulsions formed by the APG <= FA containing solutions because of the fatty alcohol, which dispersion in water was similar to an emulsion representation. The presence of the liquid crystals was revealed by optical microscopy under the polarized light, as different anisotropic conformations corresponding to the lamellar phase, the hexagonal phase and the coexistence of the lamellar and hexagonal phases, mainly for the most concentrated samples, were observed. These structures were characterized at the molecular level through the wide-angle X-ray diffraction technique and their macroscopic behaviour was investigated by rheology tests. Two main observations were then made: the variation of the surfactant concentration in solution promotes the transition between micellar region towards the liquid crystalline formation zone, while the APG/FA ratio impacts the formation of hexagonal phases (APG > FA) or of lamellar ones (APG < FA). (C) 2018 Elsevier B.V. All rights reserved.","[Terescenco, Dania; Savary, Geraldine; Grisel, Michel; Picard, Celine] Normandie Univ, UNILEHAVRE, FR 3038, CNRS,URCOM, F-76600 Le Havre, France; [Clemenceau, Florence; Merat, Emmanuelle] Direct Innovat UID Excipients SEPPIC, 127 Chemin Poudrerie, F-81105 Castres, France; [Duchemin, Benoit] Normandie Univ, UNIHAVRE, CNRS, LOMC, F-76600 Le Havre, France","Picard, C (reprint author), Normandie Univ, UNILEHAVRE, FR 3038, CNRS,URCOM, F-76600 Le Havre, France.",daria.terescenco@univ-lehavre.fr; geraldine.savary@univ-lehavre.fr; florence.clemenceau@airliquide.com; emmanuelle.merat@airliquide.com; benoit.duchemin@univ-lehavre.fr; michel.grisel@univ-lehavre.fr; celine.picard@univ-lehavre.fr,NA,"Duchemin, Benoit/0000-0002-9017-4340",FIJI 16; Region Normandie,"This work has been carried out in the context of the ALGRAAL, selected as Project of Excellence by the General Directorate for Competitiveness Industry and Services (DGCIS) in the 16th Appeal FUI (Fonds Unique Interministeriel). The authors gratefully acknowledge the financial support of the FIJI 16 and the Region Normandie.",49,1,1,11,11,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0167-7322,1873-3166,NA,J MOL LIQ,J. Mol. Liq.,MAR,2018,253,NA,NA,NA,NA,45,52,NA,10.1016/j.molliq.2017.12.149,NA,NA,NA,8,"Chemistry, Physical; Physics, Atomic, Molecular & Chemical",Chemistry; Physics,FX9II,WOS:000426411500006,NA,NA,NA,NA,9/30/2018
C145,A096,Title,Yes,S,"Kramarova, M; Dulina, L; Cechova, I",NA,"Bujnak, J; Guagliano, M",NA,"Kramarova, Miroslava; Dulina, Luboslav; Cechova, Ivana",NA,Forklift workers strain of spine at industrial logistics in depending on human work posture,"12TH INTERNATIONAL SCIENTIFIC CONFERENCE OF YOUNG SCIENTISTS ON SUSTAINABLE, MODERN AND SAFE TRANSPORT",Procedia Engineering,NA,NA,"12th International Scientific Conference of Young Scientists on Sustainable, Modern and Safe Transport","MAY 31-JUN 02, 2017","High Tatras, SLOVAKIA",Univ Zilina,NA,NA,NA,"The article provides information about the dangerous logistic activities in a company, where a worker is exposed to an excessive load to the musculoskeletal system. It describes the dependence between the operator's load parameter during his control of a forklift and his subjective reaction to this load parameter in the form of strain. Evaluation of the operator's strain is based on the force that is exerted on the intervertebral segment L4 / L5 and the muscles in the spine. It also provides information about values of the operator's awkward postures, differing from the neutral working posture during a specific work activity that's hazardous. Subsequently, the article defines the optimal range of parameters for an operator, during his control of a forklift, within which he doesn't get into non-physiological work postures associated with discomfort. (C) 2017 The Authors. Published by Elsevier Ltd.y",NA,NA,NA,NA,"Cechova, Ivana/0000-0002-8705-3222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877-7058,NA,NA,NA,NA,NA,2017,192,NA,NA,NA,NA,486,491,NA,10.1016/j.proeng.2017.06.084,NA,NA,NA,NA,NA,NA,NA,WOS:000404958000084,NA,NA,NA,NA,NA
C146,A097,Title,Yes,J,"Aasman, J",NA,NA,NA,"Aasman, Jans",NA,Transmuting Information to Knowledge with an Enterprise Knowledge Graph,IT PROFESSIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The enterprise knowledge graph for entity 360-views has emerged as one of the most useful graph database technology applications when buttressed by W3C standard semantic technology, modern artificial intelligence, and visual discovery tools.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520-9202,1941-045X,NA,NA,NA,NOV-DEC,2017,19,6,NA,NA,NA,44,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000417928100008,NA,NA,NA,NA,NA
C147,A098,URL;Title,Yes,J,"McMahon, C",NA,NA,NA,"McMahon, Chris",NA,Design Informatics: Supporting Engineering Design Processes with Information Technology,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering design is an information processing activity, in which designers access and create information at every stage of the design process, creating information models of the designed artefact and to assist in the evaluation of its performance. The importance of information in design has meant that design informatics-the use of computers as a means of generating, communicating and sharing data, information and knowledge in design-has been a central theme in the design research and practice for many years. This paper reviews the progress of research in design informatics, and makes suggestions for future research directions using as a basis for structuring the discussions Gero's function-behaviour-structure and Weber's characteristic-properties models of design activities. The review encompasses technologies of computer-aided design, computer-aided engineering, computer-supported collaborative work, design-for-X and knowledge and information management among others, with an emphasis on applications in mechanical engineering and related disciplines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0970-4140,NA,NA,NA,NA,OCT-DEC,2015,95,4,NA,NA,NA,365,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000368666900004,NA,NA,NA,NA,NA
C148,A099,Title,Yes,J,"Haridas, S; Ganapathi, R; Kumar, M; Manda, K",NA,NA,NA,"Haridas, Seenu; Ganapathi, Ramya; Kumar, Mayank; Manda, Kailash",NA,Whisker dependent responsiveness of C57BL/6J mice to different behavioral test paradigms,BEHAVIOURAL BRAIN RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whisker trimming is very common in C57BL/6J mice. Dewhiskering may lead to an alteration in the thalamocortical connectivity and relevant behavioral functions. Since C57BL/6J is a commonly used strain for neurobehavioral studies, it is important to examine how whisker dependent heterogeneity affects the internal validity of behavioral phenotypes. The present study aimed to investigate the responsiveness of mice to different behavioral test paradigms in the presence or absence of whiskers. We employed two models of whisker deprivation: Acute Whisker Desensitization (AWD) and Chronic Habitual Dewhiskering (CHD). The AWD model blocks whisker sensation by lidocaine application. For CHD model, mice at the age of 12 weeks were carefully scrutinized for presence or absence of whiskers and divided into three groups, the whiskered mice, partially dewhiskered mice and completely dewhiskered mice. The whisker-dependent behavioral functions were assessed using open field test, novel object recognition test, marble burying test and forced swim test. Our results showed that habitual dewhiskering significantly altered the short-term memory and basal anxiety-like functions. Such behavioral alteration due to dewhiskering was significantly different in fully and partially dewhiskered mice, which is indicative of behavioral adaptation to the whisker desensitization. Contrary to CHD, the Acute Whisker Desensitization ameliorated behavioral compulsivity and basal anxiety. Our results suggest that vibrissal desensitization in the mice may lead to changes in their affective and cognitive state. Since, heterogeneity in whisker status may affect behavioral functions, careful inspection of the whisker status of C57BL/6J mice is recommended to increase the reproducibility and reliability of results obtained from behavioral assessments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0166-4328,1872-7549,NA,NA,NA,15-Jan,2018,336,NA,NA,NA,NA,51,58,NA,10.1016/j.bbr.2017.08.004,NA,NA,NA,NA,NA,NA,NA,WOS:000413382100008,28822693,NA,NA,NA,NA
C149,A100,Title,Yes,B,"Kaur, A; Kaur, L",NA,NA,IEEE,"Kaur, Amanjeet; Kaur, Lakhwinder",NA,Concealed Weapon Detection from images using SIFT and SURF,PROCEEDINGS OF 2016 ONLINE INTERNATIONAL CONFERENCE ON GREEN ENGINEERING AND TECHNOLOGIES (IC-GET),NA,NA,NA,Online International Conference on Green Engineering and Technologies (IC-GET),19-Nov-16,"Karpagam Coll Engn, Coimbatore, INDIA","Karpagam Coll Engn, Dept Elect & Commun Engn",Karpagam Coll Engn,NA,NA,"Nowadays the global attacks of terrorism continues to escalate, so it is exigent to find the different techniques to ensure the safety of individuals at the public places like airports, railways and sensitive buildings etc. This paper presents proposed method for feature extraction from images to detect weapons especially different shapes of guns. Most effective algorithms SIFT and SURF used for feature extraction applied on database of images of luggage. Both algorithms give results that are invariant to scale, rotation, occlusion, change in illumination and noise. In the proposed method, input image is divided into parts in order to detect multiple guns of same or different type. Experimentally proposed method shows 90% efficiency and SURF is faster than SIFT. Algorithms are tested on the database of images containing weapons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-4556-3,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000405375600069,NA,NA,NA,NA,NA
C150,A101,Title,Yes,B,"Ben Henia, WM; Lachiri, Z",NA,NA,IEEE,"Ben Henia, Wiem Mimoun; Lachiri, Zied",NA,Emotion Classification in Arousal-Valence Dimension Using Discrete Affective Keywords Tagging,2017 INTERNATIONAL CONFERENCE ON ENGINEERING & MIS (ICEMIS),NA,NA,NA,International Conference on Engineering and MIS (ICEMIS),"MAY 08-10, 2017","Univ Monastir, Monastir, TUNISIA","IARES, IEEE",Univ Monastir,NA,NA,"Human emotional recognition is a recent topic and an essential stage in Human-Computer Interaction issue. Recently, investigated researches have proved that the analysis of physiological signals is a relevant modality to assess the affective states. This work aims to classify the emotion into three defined areas in arousal-valence model using self-reported emotional keywords tagging instead of discrete rating value. Thus, we explored the peripheral physiological signals collected in the MAHNOB-HCI Tagging database. In this dataset, there are bodily responses of 24 participants after watching 20 stimuli videos to evoke their emotions. We preprocessed the data, extracted features and classified the states using the Support Vector Machine method. The obtained classification rates are 59.57%, 57.44% in arousal and valence, respectively. These results are promising compared to recent related work.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-6778-7,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000427724000032,NA,NA,NA,NA,NA
C151,A101,Title,Yes,B,"Wiem, MB; Lachiri, Z",NA,"Szczypiorski, K",NA,"Wiem, Mimoun Ben Henia; Lachiri, Zied",NA,Emotion Recognition System Based on Physiological Signals with Raspberry Pi III Implementation,2017 3RD INTERNATIONAL CONFERENCE ON FRONTIERS OF SIGNAL PROCESSING (ICFSP),NA,NA,NA,3rd International Conference on Frontiers of Signal Processing (ICFSP),"SEP 06-08, 2017","Paris, FRANCE",IEEE,NA,NA,NA,"Human machine interaction field has potentialapplications in different domainssuch as medicine therapies for vulnerable persons. Thus, allowing the machine to identify and understand emotional states is one of the primordial stagesfor affective interactivity with Humans. Recent studies have proved that physiological signals contribute to recognize the emotion. In this paper, we aim to classify the affective states into two defined classes in arousal-valence modelusing peripheral physiological signals. For this aim, we explored the recent multimodal MAHNOB-HCI database that containsthe bodily responses of 24 participants to 20 affective videos. After preprocessing the data and extracting features, we classified the emotion using the Support Vector Machine (SVM). The classification stage was implemented on Raspberry Pi III model B using Python platform. The obtained results are encouraging compared to recent related works.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5386-1038-1,NA,NA,NA,2017,NA,NA,NA,NA,NA,20,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000425242400004,NA,NA,NA,NA,NA
C152,A101,Title,Yes,B,"Wiem, MB; Lachiri, Z",NA,NA,IEEE,"Wiem, Mimoun Ben Henia; Lachiri, Zied",NA,Emotion sensing from physiological signals using three defined areas in arousal-valence model,"2017 INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND DIAGNOSIS (ICCAD)",NA,NA,NA,"International Conference on Control, Automation and Diagnosis (ICCAD)","JAN 19-21, 2017","Hammamet, TUNISIA",NA,NA,NA,NA,"This paper aims to recognize the human emotional states into three defined areas in arousal-valence evaluation: Corresponding to calm, medium aroused, and excited, unpleasant, neutral valence and pleasant. And thanks to the relevance of the peripheral physiological signals in emotion recognition issue, we used in our contribution the multimodal dataset MAHNOB-HCI. In this database, there are emotional bodily responses of twenty four participants after watching twenty affective stimuli videos. In our work, we focused on the ElectroCardioGram (ECG), Galvanic Skin Response (GSR), Skin Temperature (Temp) and Respiration Volume (RESP). To accomplish our purpose, we pre-process the data, extract 169 features and finally, classify the emotional states by using the support vector machine (SVM). As a first step, we classify each signal to know the most relevant physiological signal for emotion assessing, then a level feature fusion is applied to compare our approach to related work. According to previous studies, our obtained results are promising and show that the respiration and electrocardiogram are the most relevant.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-5987-4,NA,NA,NA,2017,NA,NA,NA,NA,NA,219,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000425852200040,NA,NA,NA,NA,NA
C153,A101,Title,Yes,B,"Wiem, MB; Lachiri, Z",NA,NA,IEEE,"Wiem, Mimoun Ben Henia; Lachiri, Zied",NA,Emotion assessing using valence-arousal evaluation based on peripheral physiological signals and support vector machine,2016 4TH INTERNATIONAL CONFERENCE ON CONTROL ENGINEERING & INFORMATION TECHNOLOGY (CEIT),NA,NA,NA,4th International Conference on Control Engineering and Information Technology (CEIT),"DEC 16-18, 2016","Hammamet, TUNISIA",NA,NA,NA,NA,"Emotion recognition becomes an investigated topic in affective computing for several applications. The presented paper aims to recognize human emotions using peripheral physiological signals as well as electrocardiogram (ECG), galvanic skin response (GSR), Skin Temperature (Temp) and respiration volume (RV). To achieve this purpose, we develop our work with the multi modal database MAHNOB-HCI. The emotional responses of twenty four participants to twenty affective stimuli videos are classified into two precise areas in valence-arousal emotional space. Using the support vector machine (SVM) as a classifier, the results, over the mentioned signals, show that the ECG and RV signals are the most relevant for emotion recognition issue. Moreover, our obtained accuracies are promising compared to related work.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-1055-4,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000402990700102,NA,NA,NA,NA,NA
C154,A102,URL;Title,Yes,J,"Goodhead, DT",NA,NA,NA,"Goodhead, D. T.",NA,"CLASSICAL APPROACHES TO MICRODOSIMETRY, WITH EXAMPLE OF USE IN RADIATION PROTECTION, MEDICINE AND MECHANISTIC UNDERSTANDING",RADIATION PROTECTION DOSIMETRY,NA,NA,NA,16th International Symposium on Microdosimetry (MICROS),"OCT 20-25, 2013","Trevisto, ITALY","INFN, Lab Nazl Legnaro, NASA, Johnson Space Ctr, Univ Nevada, Houston & Hlth Phys & Diagnost Sci Dept, Int Commiss Radiat Units & Measurements, Univ Oxford, Oxford Inst Radiat Oncol",NA,NA,NA,"Microdosimetry is the study and application of the microscopic features and stochastics of ionising radiations that cannot be described by the average macroscopic quantity absorbed dose. Microdosimetry is intimately related to radiation quality, but it also encompasses the inhomogeneities of interactions and energy depositions within a single radiation type. A variety of past and current approaches will be summarised and some examples given of implications to radiation protection and medicine, as well as to basic mechanistic studies of radiation effects.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0144-8420,1742-3406,NA,NA,NA,SEP,2015,166,4-Jan,NA,NA,NA,276,281,NA,10.1093/rpd/ncv194,NA,NA,NA,NA,NA,NA,NA,WOS:000361806600057,25897134,NA,NA,NA,NA
C155,A103,Title,Yes,B,"Espinoza, IE; Kuwabara, YM; Lopez, MO",NA,NA,IEEE,"Estevez Espinoza, Ignacio; Matsumoto Kuwabara, Y.; Ortega Lopez, M.",NA,Advances on the synthesis of solution-processed Cu2ZnSnS4 thin films,"2017 14TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING, COMPUTING SCIENCE AND AUTOMATIC CONTROL (CCE)",NA,NA,NA,"14th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","OCT 20-22, 2017","Mexico City, MEXICO","Cinvestav, IEEE, Electron Devices Soc, CINVESTAV IPN, Dept Automat Control, CINVESTAV IPN, Dept Elect Engn",NA,NA,NA,"This work reports the recent advances on the synthesis and characterization of thin Cu2ZnSnS4 (CZTS) films prepared by chemical solution deposition. CZTS colloids dispersed in water-ethanol solutions were used as precursors and prepared by coprecipitation by mixing CuCl2-2H(2)O, ZnCl2, SnCl2 and thiourea (NH2)(2)CS in water-ethanol mixtures. The CZTS films were deposited on glass substrates by spin-coating. After being deposited, the films were heat-treated in vacuum at 300-340 degrees C for 10 minutes. Characterization of CZTS by X-ray diffraction measurements did not give conclusive results, but Raman spectroscopy testified that prepared samples are multiphase comprising probably Cu2SnS3 as an impurity phase and kesterite CZTS as the predominant one.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5386-3406-6,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000427379000084,NA,NA,NA,NA,NA
C156,A104,Title,Yes,S,"Kaewkasi, C; Chuenmuneewong, K",NA,NA,IEEE,"Kaewkasi, Chanwit; Chuenmuneewong, Kornrathak",NA,Improvement of Container Scheduling for Docker using Ant Colony Optimization,2017 9TH INTERNATIONAL CONFERENCE ON KNOWLEDGE AND SMART TECHNOLOGY (KST),International Conference on Knowledge and Smart Technology,English,Proceedings Paper,9th International Conference on Knowledge and Smart Technology (KST),"FEB 01-04, 2017","Pattaya, THAILAND","Burapha Univ, Fac Informat, KST Res Lab, IEEE Thailand Sect, IEEE, ECTI Assoc, SiPA, AIAT, IEEE Xplore Digital Lib, Sripatum Univ, Assumpt Univ Thailand, KISTI, Toyohashi Univ Technol",NA,NA,NA,"Docker, a software container implementation, has emerged not only as an operating-system level virtualization but also an application delivery platform for today Internet. However, the scheduling algorithm shipped with SwarmKit, the orchestration engine behind Docker, is suboptimal when resources are non-uniform. The use of meta-heuristic, like Ant Colony Optimization (ACO), is feasible to improve the scheduler's optimality. This paper presents a study of ACO to implement a new scheduler for Docker. The main contribution of this paper is an ACO-based algorithm, which distributes application containers over Docker hosts. It is to balance the resource usages and finally 1 eads to the better performance of applications. The experimental results showed that workloads placed by ACO performed better than those of the greedy algorithm by approximately 15% on the same host configuration.","[Kaewkasi, Chanwit; Chuenmuneewong, Kornrathak] Suranaree Univ Technol, Sch Comp Engn, 111 Univ Ave, Nakhon Ratchasima 30000, Thailand","Kaewkasi, C (reprint author), Suranaree Univ Technol, Sch Comp Engn, 111 Univ Ave, Nakhon Ratchasima 30000, Thailand.",chanwit@sut.ac.th; b5612987@g.sut.ac.th,NA,NA,Suranaree University of Technology,This work has been sponsored by Suranaree University of Technology. The authors would like to thank the Docker Engineering team for their kindly support.,16,6,6,3,5,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",2374-314X,NA,978-1-4673-9077-4,INT CONF KNOWL SMART,NA,NA,2017,NA,NA,NA,NA,NA,254,259,NA,NA,NA,NA,NA,6,"Engineering, Electrical & Electronic",Engineering,BH8SF,WOS:000403616300045,NA,NA,NA,NA,10/14/2018
C157,A105,Title,Yes,S,"Allevato, A; Sharp, A; Pryor, M",NA,NA,IEEE,"Allevato, Adam; Sharp, Andrew; Pryor, Mitch",NA,Getting the Shot: Socially-Aware Viewpoints for Autonomously Observing Tasks,2017 IEEE WORKSHOP ON ADVANCED ROBOTICS AND ITS SOCIAL IMPACTS,IEEE Workshop on Advanced Robotics and its Social Impacts,English,Proceedings Paper,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),"MAR 08-10, 2017","Austin, TX",IEEE,NA,NA,ROBOTIC CAMERAMAN,"In this work, we present an algorithm for autonomously determining the appropriate location from which to observe a human or robot agent (actor) while it completes a task in dynamic environments. We develop theory for selecting such a location using forward physical simulation of randomly-selected candidate viewpoints. The simulated points provide obstacle avoidance, and by incorporating a modified version of the Social Force Model, candidate viewpoints adjust themselves so that they do not encroach on the actor's personal space and/or safety region. The best observer position is chosen from these candidates to provide the most complete view of the task volume, taking into account the occlusion caused by the actor itself. We show that our algorithm works under a variety of task volume configurations, actor types (human and robot), and environmental constraints. Finally, the paper shows the results of hardware deployment on a two-robot system-one observer, and one actor. The paper concludes by examining the social impacts of deploying autonomous observation algorithms on real-world systems.","[Allevato, Adam; Sharp, Andrew; Pryor, Mitch] Univ Texas Austin, Dept Mech Engn, Austin, TX 78712 USA","Allevato, A (reprint author), Univ Texas Austin, Dept Mech Engn, Austin, TX 78712 USA.",allevato@utexas.edu; asharp@utexas.edu; mpryor@utexas.edu,NA,NA,Integrated University Program Graduate Fellowship; Los Alamos National Laboratory,This material is based upon work supported under an Integrated University Program Graduate Fellowship and Los Alamos National Laboratory. We thank Benjamin Ebersole for providing hardware support.,25,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",2162-7568,NA,NA,IEEE WORK ADV ROBOT,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Robotics",Computer Science; Engineering; Robotics,BJ7CH,WOS:000427050500019,NA,NA,NA,NA,10/14/2018
