"","AID","CID","CitedAs","Locatable","CitationDetail_RG","FulltextAvailable","DOI_RG","AuthorUpload","SourcePubs","SourcePreprint","SourceRepo","SourceWebsite","SourceURl","SourceDOI","ItemClass","Copyrighted","Licensed","HCISI","PT","AU","BA","CA","GP","RI","OI","BE","Z2","TI","X1","Y1","Z1","FT","PN","AE","Z3","SO","S1","SE","BS","VL","IS","SI","MA","BP","EP","AR","DI","D2","SU","PD","PY","AB","X4","Y4","Z4","AK","CT","CY","SP","CL","TC","Z8","ZB","ZS","Z9","SN","BN","UT","PM"
"11","E011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Bentaha, M. L.; Dolgui, A.; Battaia, O.",NA,NA,NA,NA,NA,NA,NA,"Problem Instances I Have Used in the Numerical Experiments of My Work on Disassembly Line Design and Balancing under Uncertainty",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,"1",NA,NA,NA,"1","14",NA,"DOI 10.13140/RG.2.1.5163.5043",NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"12","E012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Bhattacharyya, A. S.; Gaurav, K.; Kommu, P. Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.5077.8082",NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"13","E013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Bhavanani, AB",NA,NA,NA,NA,NA,NA,NA,"Yoga for health in children",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"14","E014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Bobadila, R.; Berr, A.",NA,NA,NA,NA,NA,NA,NA,"Histone Methylation-A corertone for plant responses to environmental stresses?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"31","61",NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"15","E015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Bollen, K. A.; Jackman, R. W.",NA,NA,NA,NA,NA,NA,NA,"Regression diagnos-tics: an expository treatment of outliers and influential cases",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"13",NA,NA,NA,"510","542",NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"16","E016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Boyd, Danah",NA,NA,NA,NA,NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"167","E016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Boyd, Danah",NA,NA,NA,NA,NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"1610","E016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Boyd, Danah",NA,NA,NA,NA,NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"17","E017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","BRADBURY IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESEARCHGATE",NA,NA,NA,"340",NA,NA,NA,"245",NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"18","E018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Brocca, L.; Ciabatta, L.; Massari, C.; Hahn, S.; Wagner, W.",NA,NA,NA,NA,NA,NA,NA,"SM2RAIN-ASCAT (1 Jan 2007-30 June 2015) global daily rainfall dataset",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.4434.8563",NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"19","E019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Brunick, KL; Cutting, JE",NA,NA,NA,NA,NA,NA,NA,"Coloring the animated world, Exploring human color perception and preference through the animated film",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"43","2",NA,NA,"41","45",NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"20","E020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","CAMPUZANO, R.",NA,NA,NA,NA,NA,NA,NA,"Evaluacion del periodo de espera voluntario en vacas especializadas en produccion de leche",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"21","E021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Champlain, A. F. D.; Gessaroli, M. E.; Tang, K. L.; Champlain, J. E. D.",NA,NA,NA,NA,NA,NA,NA,"Assessing the dimensionality of polytomous item responses with small sample sizes and short test lengths: A comparison of procedures",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","E022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Chaslot, G; Bakkes, S; Szita, I; Spronck, P",NA,NA,NA,NA,NA,NA,NA,"Monte-Carlo Tree Search: A New Framework for Game AI",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"23","E023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Chatterjee, N.; Bhattacharjee, B.; Chatterjee, N.",NA,NA,NA,NA,NA,NA,NA,"Quantitative study on the impact of the seasonal change in the aquatic physicochemical parameters on zooplankton population density in Saheb bandh, Purulia, West Bengal, India",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"11","19",NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"24","E024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Chen, G. Z.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"25","E025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Research Gate",NA,NA,NA,NA,NA,NA,NA,"515","515",NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"26","E026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.",NA,NA,NA,NA,NA,NA,NA,"History and applications of hydrogels",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"4","2",NA,NA,"13","23",NA,NA,NA,NA,"Dec 1",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"261","E026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.",NA,NA,NA,NA,NA,NA,NA,"History and applications of hydrogels",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"4","2",NA,NA,"13","23",NA,NA,NA,NA,"Dec 1",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"27","E027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Clifford, M. N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.2.21311.71848",NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"271","E027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Clifford, M. N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.2.21311.71848",NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"28","E028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Cribb, V.; Orsini-Jones, M.",NA,NA,NA,NA,NA,NA,NA,"The added value of foreign language knowledge on metalinguistic awareness at university",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOI 10.13140/RG.2.1.2080.4968",NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"29","E029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Crippen, G.; Havel, T. F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"30","E030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dabiri, JO; Gharib, M",NA,NA,NA,NA,NA,NA,NA,"The role of optimal vortex formation in biological fluid transport",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"272","1572",NA,NA,"1557","1560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"31","E031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dat, L.D.; Thao, N.P.; Luyen, B.T.T.; Tai, B.H.; Jeong, M.H.; Woo, M.H.; Kim, Y.H.",NA,NA,NA,NA,NA,NA,NA,"Identification of six new lupane-type triterpenoids from Acanthopanax koreanum leaves and their tyrosinase inhibitory activities",NA,NA,NA,NA,NA,NA,NA,"ResearchGate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","E032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","de Camargo, MBP; Hubbard, KG",NA,NA,NA,NA,NA,NA,NA,"Drought sensitivity indices for a sorghum crop",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF PRODUCTION AGRICULTURE",NA,NA,NA,"12","2",NA,NA,"312","316",NA,NA,NA,NA,"APR-JUN 1999",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"321","E032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","de Camargo, MBP; Hubbard, KG",NA,NA,NA,NA,NA,NA,NA,"Drought sensitivity indices for a sorghum crop",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF PRODUCTION AGRICULTURE",NA,NA,NA,"12","2",NA,NA,"312","316",NA,NA,NA,NA,"APR-JUN 1999",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"322","E032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","de Camargo, MBP; Hubbard, KG",NA,NA,NA,NA,NA,NA,NA,"Drought sensitivity indices for a sorghum crop",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF PRODUCTION AGRICULTURE",NA,NA,NA,"12","2",NA,NA,"312","316",NA,NA,NA,NA,"APR-JUN 1999",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"323","E032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","de Camargo, MBP; Hubbard, KG",NA,NA,NA,NA,NA,NA,NA,"Drought sensitivity indices for a sorghum crop",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF PRODUCTION AGRICULTURE",NA,NA,NA,"12","2",NA,NA,"312","316",NA,NA,NA,NA,"APR-JUN 1999",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"324","E032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","de Camargo, MBP; Hubbard, KG",NA,NA,NA,NA,NA,NA,NA,"Drought sensitivity indices for a sorghum crop",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF PRODUCTION AGRICULTURE",NA,NA,NA,"12","2",NA,NA,"312","316",NA,NA,NA,NA,"APR-JUN 1999",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"33","E033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","De Bruin, H.; Wang, J.",NA,NA,NA,NA,NA,NA,NA,"Scintillometry: a review",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"34","E034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Dzmbeg-Malcic, V.; Barbaric-Mikocvic, Z.; Itric, K.",NA,NA,NA,NA,NA,NA,NA,"Kubelka-Munk theory in describing optical properties of paper (I)",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"19",NA,NA,NA,"191","196",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"35","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"351","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"352","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"353","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"354","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"355","E035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,NA,NA,NA,NA,"Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics",NA,NA,NA,NA,NA,NA,NA,"BOREAL ENVIRONMENT RESEARCH",NA,NA,NA,"20","6",NA,NA,"679","692",NA,NA,NA,NA,"DEC 18 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
