,AID,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
4,A011,No,Yes,No,Yes,No,No,psu.edu ,Academia.edu; Baidu,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.103.3657;https://s3.amazonaws.com/academia.edu.documents/30709818/2005_Alexander_Brunye_Sidman_Weil.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1531168242&Signature=%2BEIr27YABS0J4%2FURh33N5XIWuGw%3D&response-content-disposition=inline%3B%20filename%3DFrom_gaming_to_training_A_review_of_stud.pdf; https://wenku.baidu.com/view/16b1d31455270722192ef7bd.html,No,ARTICLE,No,NA,NA,J,"Alexander, A. L.; Brunye, T.; Sidman, J.; Weil, S. A.",NA,NA,NA,"From Gaming to Training: A Review of Studies on Fidelity, Immersion, Presence, and Buy-in and Their Effects on Transfer in PC-Based Simulations and Games",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan,2005,NA,NA,NA,NA,1
5,A012,Yes,No,No,No,International Journal of High Speed Electronics and Systems,NA,NA,Academia.edu,https://syr.academia.edu/DamianAllis,DOI: 10.1142/S0129156407004436,ARTICLE,NA,NA,NA,J,"Allis, D. G.; Korter, T. M.",NA,NA,NA,"Development of Computational Methodologies for the Prediction and Analysis of Solid-State Terahertz Spectra, 2",NA,NA,ResearchGate,17,NA,193,212,NA,NA,NA,2007,NA,NA,NA,NA,1
6,A013,Yes,Yes,No,Yes,No,arXiv.org,No,No, arXiv:1605.04695 ,No,PROCEEDINGS PAPER,NA,NA,NA,J,"Amrollahi, A.",NA,NA,NA,A Process Model for Crowdsourcing: Insights from the Literature on Implementation,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
7,A014,NA,Yes,Yes,Yes,No,No,No,No,https://www.researchgate.net/post/How_can_I_do_PerMANOVA_pairwise_contrasts_in_R,No,DISCUSSION,NA,NA,NA,J,"Arbizu, PM",NA,NA,NA,NA,NA,NA,How can I do PerMANOVA pairwise contrasts in R? ResearchGate,NA,NA,NA,NA,NA,NA,30-Jan,2016,NA,NA,NA,NA,1
253,A015,No,Yes,No,Yes,No,No,No,Academia.edu; SemanticScholar,https://s3.amazonaws.com/academia.edu.documents/41679603/Modelling_Inshore_Rockfish_Habitat_in_Br20160128-8147-; https://www.semanticscholar.org/paper/Modelling-Inshore-Rockfish-Habitat-in-British-%3A-A-Ardron-Wallace/e7950088aa9a0def0a1d516657b89cc2442ae42d?tab=referenceshax8ej.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1532311947&Signature=GV5hiOqsHvwNhUiC68UK96olOj0%3D&response-content-disposition=inline%3B%20filename%3DModelling_Inshore_Rockfish_Habitat_in_Br.pdf,No,BOOK CHAPTER,NA,NA,NA,J,"Ardron, J. A.; Wallace, S.",NA,NA,NA,Modelling inshore rockfish habitat in British Columbia: A pilot study,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
9,A016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Aubry, S.; Andre, G.",NA,NA,NA,NA,NA,NA,ResearchGate,3,NA,NA,NA,NA,NA,Jan.,1980,NA,NA,NA,NA,1
10,A017,No,Yes,No,Yes,GeographicalBulletein,No,No,No,http://web.a.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=2&sid=9bd88b75-66ef-4cec-90f2-81cf375ec15b%40sessionmgr4010,No,ARTICLE,Yes,No,NA,J,"Aucoin, M.; Fry, M.",NA,NA,NA,Growing local food movements: Farmers' markets as nodes for products and community,NA,NA,ResearchGate,56,NA,61,78,NA,NA,NA,2015,NA,NA,NA,NA,1
11,A018,Yes,Yes,Yes,No,No,No,No,No,No,DOI: 10.13140/RG.2.2.21031.85925,DATA SETS,No,No,NA,J,"Auerswald, K.; Hafner, B.D.; Konig, A.",NA,NA,NA,Data of Hoof growth rates of the European roe deer (Capreolus capreolus) for dating the hoof's isotopic archive published in Forests,NA,NA,ResearchGate,NA,NA,NA,NA,NA,DOI 10.13140/RG.2.2.21031.85925,NA,2017,NA,NA,NA,NA,1
12,A019,Yes,Yes,No,Yes,QEST'04,No,No,IEEE Computer Society; Academia.edu,https://www.computer.org/csdl/proceedings/qest/2004/2185/00/21850316.pdf; https://www.academia.edu/13859307/D-ITG_distributed_internet_traffic_generator,DOI: 10.1109/QEST.2004.1348045,PROCEEDINGS PAPER,Yes,No,NA,J,"Avallone, S.; Guadagno, S.; Emma, D.; Pescape, A.; Ventre, G.",NA,NA,NA,DITG Distributed Internet Traffic Generator,NA,NA,ResearchGate,NA,NA,316,317,NA,NA,NA,2004,NA,NA,NA,NA,1
13,A020,Yes,Yes,No,Yes,IJSSST,No,No,No,http://ijssst.info/Vol-15/No-4/paper5.pdf,No,PROCEEDINGS PAPER,Yes,No,NA,J,"Backfrieder, C.; Ostermayer, G.; Mecklenbrauker, C. F.",NA,NA,NA,TraffSim - A traffic simulator for investigations of congestion minimization through dynamic vehicle rerouting,NA,NA,ResearchGate,15,4,38,47,NA,NA,Aug.,2014,NA,NA,NA,NA,2
14,A021,Yes,Yes,No,Yes,Building and Environment; CLIMA 2007,No,No,No,http://www.irbnet.de/daten/iconda/CIB7218.pdf,https://doi.org/10.1016/j.buildenv.2011.08.018,PROCEEDINGS PAPER,Yes,NA,Preprint,J,"Bako-Biro, Z.; Kochhar, N.; Clements-Croome, D.J.; Awbi, H.B.; Willianis, M.",NA,NA,NA,Ventilation Rates in Schools and Learning Performance,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
16,A022,Yes,Yes,Yes,Yes,No,No,No,Google Docs,https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxja3R0aGV2ZW5pbnxneDo2MmUwYjEyNDZhZmY0ZmM5,DOI: 10.13140/RG.2.1.3332.5605,ARTICLE,No,No,NA,J,"Bandyopadhyay, A. K.",NA,NA,NA,Generalized Thevenins ' theorem and its proof,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.3332.5605,Apr. 24,2015,NA,NA,NA,NA,1
17,A023,Yes,Yes,No,Yes,No,No,No,World Health Organization; Organizaci�n Panamericana de la Salud; IRC,http://www.who.int/water_sanitation_health/dwq/iwaforeword.pdf; http://www.bvsde.paho.org/bvsacg/fulltext/waterquality/content.pdf; https://www.ircwash.org/resources/water-quality-guidelines-standards-and-health-assessment-risk-and-risk-management-water,No,BOOK,Yes,No,NA,J,"Bartram, J.",NA,NA,NA,"Water quality: guidelines, standards, and health: assessment of risk and risk management for water-related infectious disease",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,1
254,A024,No,Yes,No,Yes,No,No,No,Global Electronics Business Research Center,http://gebrc.nccu.edu.tw/proceedings/APDSI/2000/list/pdf/P-074.PDF,No,ARTICLE,No,No,NA,J,"Barua, A.; Lang, K. R.; Susarla, A.; Whinston, A B.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
18,A025,Yes,Yes,No,Yes,"Computer Aided Methods for Modelling, Simulation and Optimization",No,No,No,No,No,ARTICLE,NA,NA,NA,J,"Basam, Venkata R; Ravi Kumar, G",NA,NA,NA,NA,NA,NA,Evolutionary Approach Based Design of BLDC Motor controller with H8 Objectives,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,1
19,A026,Yes,No,No,No,SIGCSE'13,No,No,No,No,doi.org/10.1145/2445196.2445346,PROCEEDINGS PAPER,Yes,No,NA,J,"Basawapatna, A. R.; Repenning, A.; Lewis, C. H.",NA,NA,NA,The simulation creation toolkit: An initial exploration into making programming accessible while preserving computational thinking,NA,NA,ResearchGate,NA,NA,501,506,NA,NA,NA,2013,NA,NA,NA,NA,1
20,A027,No,Yes,No,Yes,No,No,NA,http://en.jaafarali.info,http://www.jaafarali.info/files/vibration_analysis_guide.pdf,No,ARTICLE,No,No,NA,J,"Basrah, J.",NA,NA,NA,Vibration Analysis and Diagnostic Guide,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,December,2016,NA,NA,NA,NA,1
21,A028,Yes,Yes,No,Yes,Third International AAAI Conference on Weblogs and Social Media,No,No,Gephi; Academia.edu,https://aaai.org/ocs/index.php/ICWSM/09/paper/view/154; https://gephi.org/publications/gephi-bastian-feb09.pdf; https://www.academia.edu/302513/Gephi_An_Open_Source_Software_for_Exploring_and_Manipulating_Networks,No,PROCEEDINGS PAPER,Yes,No,NA,J,"Bastian, M.; Heymann, S.; Jacomy, M.",NA,NA,NA,Gephi: An Open Source Software for Exploring and Manipulating Networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
255,A029,Yes,Yes,Yes,Yes,No,No,No,No,No,No,ITEM ABOUT AN INDIVIDUAL,No,No,NA,J,"Belforte, P.",NA,NA,NA,NA,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
22,A030,Yes,Yes,Yes,Yes,No,No,No,No,No,DOI 10.13140/RG.2.1.5163.5043,ARTICLE,No,No,NA,J,"Bentaha, M. L.; Dolgui, A.; Battaia, O.",NA,NA,NA,Problem Instances I Have Used in the Numerical Experiments of My Work on Disassembly Line Design and Balancing under Uncertainty,NA,NA,Researchgate,1,NA,1,14,NA,DOI 10.13140/RG.2.1.5163.5043,NA,2015,NA,NA,NA,NA,1
23,A031,Yes,Yes,No,Yes,IJBES,NA,Zenodo,NA,No,DOI: 10.5121/ijbes.2016.3103; 10.5281/zenodo.1292410,ARTICLE,No,CC By 4.0,NA,J,"Bhagawati, A.; Chutia, R.",NA,NA,NA,Design of Single Channel Portable EEG Signal Acquisition System for Brain Computer Interface Application,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
24,A032,Yes,Yes,Yes,Yes,No,No,No,No,No,No,ARTICLE,No,No,NA,J,"Bhattacharyya, A. S.; Gaurav, K.; Kommu, P. Y.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/RG.2.1.5077.8082,NA,2015,NA,NA,NA,NA,1
25,A033,Yes,Yes,Yes,Yes,No,No,No,No,No,No,ARTICLE,No,No,NA,J,"Bhavanani, AB",NA,NA,NA,Yoga for health in children,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
26,A034,Yes,Yes,No,Yes,IJEEDC,No,No,World Research Library,http://www.worldresearchlibrary.org/up_proc/pdf/36-143402020594-97.pdf,DOI: 10.18479/ijeedc/2015/v3i8/48353,ARTICLE,Yes,No,NA,J,"Binol, H.; Uslu, F.; Bal, A.",NA,NA,NA,Unsupervised Nonlinear Feature Extraction Method And Its Effects On Target Detection In High-Dimensional Data,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
27,A035,No,No,No,No,No,No,No,Google Books; World Cat,https://books.google.com/books/about/The_measurement_of_soil_properties_in_th.html?id=Eu1RAAAAMAAJ; http://www.worldcat.org/title/measurement-of-soil-properties-in-the-triaxial-test/oclc/6439770,No,BOOK,Yes,No,NA,J,"Bishop, A.; Henkel, D. J.",NA,NA,NA,The Measurement of Soil Properties in the Triaxial Test,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,1957,NA,NA,NA,NA,1
28,A036,Yes,Yes,No,Yes,IntechOpen,No,No,No,No,DOI: 10.5772/61733,BOOK CHAPTER,Yes/Author,CC By 3.0,NA,J,"Bobadila, R.; Berr, A.",NA,NA,NA,Histone Methylation-A corertone for plant responses to environmental stresses?,NA,NA,ResearchGate,NA,NA,31,61,NA,NA,NA,2016,NA,NA,NA,NA,1
29,A037,Yes,No,No,No,The Future of Software Engineering,No,No,Google Books,https://books.google.com/books?id=WXXlTTjMRB8C&pg=PA1&lpg=PA1&dq=%22Some+Future+Software+Engineering+Opportunities+and+Challenges%22&source=bl&ots=-V2TjqGAvl&sig=wk1YG1SXRbBKGp4EYiNChnSmTkk&hl=en&sa=X&ved=2ahUKEwj4kfie_sLcAhXox4MKHatVDRIQ6AEwDXoECAEQAQ#v=onepage&q=%22Some%20Future%20Software%20Engineering%20Opportunities%20and%20Challenges%22&f=false,DOI: 10.1007/978-3-642-15187-3_1,PROCEEDINGS PAPER,Yes,No,Yes,J,"Boehm, B. W.",NA,NA,NA,Some Future Software Engineering Opportunities and Challenges,NA,NA,ResearchGate,NA,NA,1,32,NA,NA,NA,2010,NA,NA,NA,NA,1
30,A038,Yes,No,No,No,Sociological Methords & Research,No,No,No,No,DOI: 10.1177/0049124185013004004,ARTICLE,Yes,No,NA,J,"Bollen, K. A.; Jackman, R. W.",NA,NA,NA,Regression diagnos-tics: an expository treatment of outliers and influential cases,NA,NA,ResearchGate,13,NA,510,542,NA,NA,NA,1990,NA,NA,NA,NA,1
31,A039,No,No,No,No,A Networked Self,No,No,http://www.danah.org,https://www.taylorfrancis.com/books/e/9781135966164/chapters/10.4324%2F9780203876527-8; http://www.danah.org/papers/2010/SNSasNetworkedPublics.pdf,NA,BOOK CHAPTER,Yes,No,NA,J,"Boyd, Danah",NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,3
32,A040,Yes,Yes,No,Yes,Marine Ecology Progress Series,No,No,Academia.edu,https://www.academia.edu/23420279/Non-linear_genetic_isolation_by_distance_implications_for_dispersal_estimation_in_anadromous_and_marine_fish_populations,DOI: 10.3354/meps340245,ARTICLE,Yes,No,NA,J,BRADBURY IR,NA,NA,NA,NA,NA,NA,RESEARCHGATE,340,NA,245,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
231,A041,No,No,No,No,Advances in Drying,No,No,No,"https://limo.libis.be/primo-explore/fulldisplay?docid=LIRIAS1925866&context=L&vid=Lirias&lang=en_US&search_scope=Lirias&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,staffnr_U0003099&sortby=date&facet=local16,include,chapter&offset=0",No,BOOK CHAPTER,NA,No,NA,J,"Brakel, Van J.",NA,NA,NA,Mass transfer in convective drying,NA,NA,ResearchGate,1,NA,217,267,NA,NA,NA,1980,NA,NA,NA,NA,1
33,A042,Yes,No,Yes,No,ResearchGate,No,No,No,No,DOI: 10.13140/RG.2.1.4434.8563,DATA SETS,No,No,NA,J,"Brocca, L.; Ciabatta, L.; Massari, C.; Hahn, S.; Wagner, W.",NA,NA,NA,SM2RAIN-ASCAT (1 Jan 2007-30 June 2015) global daily rainfall dataset,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.4434.8563,NA,2016,NA,NA,NA,NA,1
34,A043,Yes,Yes,No,Yes,Cognitive Media Theory,No,No,cornell.edu,https://www.taylorfrancis.com/books/9781136226106/chapters/10.4324%2F9780203098226-16; http://people.psych.cornell.edu/~jec7/pubs/ColoringKate.pdf,No,BOOK CHAPTER,Yes,No,NA,J,"Brunick, KL; Cutting, JE",NA,NA,NA,"Coloring the animated world, Exploring human color perception and preference through the animated film",NA,NA,ResearchGate,43,2,41,45,NA,NA,NA,2016,NA,NA,NA,NA,1
256,A044,Yes,Yes,No,Yes,International Conference on Computer Vision and Image analysis,No,No,No,No,No,PROCEEDINGS PAPER,NA,NA,NA,J,"Bukenya, F.; Kiweewa, A.; Bai, L.",NA,NA,NA,A Review of Vessel Segmentation Techniques,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
257,A045,No,Yes,No,Yes,SilviLaser 2011,No,No,No,https://www.cabdirect.org/cabdirect/abstract/20123180616,No,PROCEEDINGS PAPER,No,No,NA,J,"Bunting, P. J.; Armston, J.; Lucas, R.; Clewley, D.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,2-Feb,2015,NA,NA,NA,NA,1
258,A046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
259,A047,Yes,No,No,No,Wiley Encyclopedia of Biomedical Engineering,No,No,No,No,DOI: 10.1002/9780471740360.ebs1326,BOOK CHAPTER,Yes,No,Yes,J,"Burleson, Wayne; Clark, Shane S.; Ransford, Benjamin; Fu, Kevin",NA,NA,NA,Design Challenges for Secure Implantable Medical Devices,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,January,2012,NA,NA,NA,NA,1
35,A048,Yes,Yes,No,Yes,ESA GNC Conference 20110,No,No,No,No,NA,PROCEEDINGS PAPER,NA,NA,NA,J,"Camara, F.; Hormigo, T.",NA,NA,NA,A Hybrid Camera-Lidar Hazard Detection and Avoidance System for Lunar Landing,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
36,A049,No,No,No,No,No,No,Nuffield College,SemanticScholar,http://www.nuff.ox.ac.uk/users/cameron/papers/empiric.pdf; https://www.semanticscholar.org/paper/Innovation-and-Growth-%3A-a-survey-of-the-empirical-Cameron/ba6bd52fb55d3e6d6f4566c974895220526ac6f0,No,ARTICLE,No,No,NA,J,"Cameron, G.",NA,NA,NA,Innovation and Growth: A Survey of the Empirical Evidence,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,1998,NA,NA,NA,NA,1
37,A050,No,No,No,No,No,No,No,Engormix,https://www.engormix.com/ganaderia-leche/articulos/evaluacion-duracion-periodo-espera-t33047.htm,No,ARTICLE,No,No,NA,J,"CAMPUZANO, R.",NA,NA,NA,Evaluacion del periodo de espera voluntario en vacas especializadas en produccion de leche,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
260,A051,Yes,Yes,No,Yes,SPIE Proceedings Vol. 6144: Medical Imaging 2006: Image Processing,No,No,CiteSeerX,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.70.3154&rep=rep1&type=pdf; https://www.semanticscholar.org/paper/Detection-of-blue-white-veil-areas-in-dermoscopy-Celebi-Kingravi/460ba9408aff5ebb7cb80f01bb2006afd9da47b5,DOI:10.1117/12.655779,PROCEEDINGS PAPER,No,No,NA,J,"Celebi, M. Emre; Kingravia, Hassan A.; Aslandogan, Y. Alp; Stoecker, William V.",NA,NA,NA,Detection of Blue-White Veil Areas in Dermoscopy Images Using Machine Learning Techniques,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,1
38,A052,No,No,No,No,No,No,No,ERIC Institution of Education Sciences,https://eric.ed.gov/?id=ED443838,No,ARTICLE,NA,NA,NA,J,"Champlain, A. F. D.; Gessaroli, M. E.; Tang, K. L.; Champlain, J. E. D.",NA,NA,NA,Assessing the dimensionality of polytomous item responses with small sample sizes and short test lengths: A comparison of procedures,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,1
39,A053,Yes,Yes,No,Yes,Proceedings of the Fourth Artificial Intelligence and Interactive Digital Entertainment Conference,No,No,GitHub; Academia.edu; CiteSeerX,https://www.aaai.org/Papers/AIIDE/2008/AIIDE08-036.pdf; https://github.com/rfrerebe/MCTS/blob/master/docs/Monte-Carlo%20Tree%20Search%20A%20New%20Framework%20for%20Game%20AI.pdf; https://www.academia.edu/13211234/Monte-carlo_tree_search_A_new_framework_for_game_ai; http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.360.3753&rep=rep1&type=pdf,No,PROCEEDINGS PAPER,Yes,No,NA,J,"Chaslot, G; Bakkes, S; Szita, I; Spronck, P",NA,NA,NA,Monte-Carlo Tree Search: A New Framework for Game AI,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
40,A054,No,Yes,No,Yes,Discovery Journals,No,No,No,http://www.discoveryjournals.org/nature/current_issue/2015/A2.pdf,No,ARTICLE,Yes,No,NA,J,"Chatterjee, N.; Bhattacharjee, B.; Chatterjee, N.",NA,NA,NA,"Quantitative study on the impact of the seasonal change in the aquatic physicochemical parameters on zooplankton population density in Saheb bandh, Purulia, West Bengal, India",NA,NA,ResearchGate,NA,NA,11,19,NA,NA,NA,2015,NA,NA,NA,NA,1
41,A055,Yes,Yes,Yes,Yes,ResearchGate,No,No,No,No,DOI: 10.13140/RG.2.1.4461.0642,ARTICLE,No,No,NA,J,"Chen, G. Z.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
42,A056,Yes,No,No,No,Expert Systems with Applications,No,No,KunDoc,https://kundoc.com/pdf-discovering-time-interval-sequential-patterns-in-sequence-databases-.html,DOI: 10.1016/S0957-4174(03)00075-7,ARTICLE,Yes,No,Preprint,J,"Chen, Yen-Liang; Chiang, Mei-Ching; Ko, Ming-Tat",NA,NA,NA,Discovering time-interval sequential patterns in sequence databases,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,1
261,A057,Yes,Yes,No,Yes,Signal and Information Processing Association Annual Summit and Conference (APSIPA),No,No,No,No,DOI:�10.1109/APSIPA.2014.7041774,PROCEEDINGS PAPER,Yes,No,NA,J,"Cheunta, Weerasak; Chirdchoo, Nitthita; Saelim, Kanittha",NA,NA,NA,Efficiency Improvement of an Integrated Giant Freshwater-White Prawn Farming in Thailand Using a Wireless Sensor Network,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,DECEMBER,2014,NA,NA,NA,NA,1
43,A058,Yes,Yes,No,Yes,"The 12th Conference, College of Basic Education, Al-Mustansiriyah UniversityAt: 515-520",No,No,No,No,NA,PROCEEDINGS PAPER,NA,NA,NA,J,"Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,515,515,NA,NA,NA,2010,NA,NA,NA,NA,1
