,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
10,P010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Aucoin, M.; Fry, M.",NA,NA,NA,Growing local food movements: Farmers' markets as nodes for products and community,NA,NA,ResearchGate,56,NA,61,78,NA,NA,NA,2015,NA,NA,NA,NA,1
11,P011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Auerswald, K.; Hafner, B.D.; Konig, A.",NA,NA,NA,Data of Hoof growth rates of the European roe deer (Capreolus capreolus) for dating the hoof's isotopic archive published in Forests,NA,NA,ResearchGate,NA,NA,NA,NA,NA,DOI 10.13140/RG.2.2.21031.85925,NA,2017,NA,NA,NA,NA,1
12,P012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Avallone, S.; Guadagno, S.; Emma, D.; Pescape, A.; Ventre, G.",NA,NA,NA,DITG Distributed Internet Traffic Generator,NA,NA,ResearchGate,NA,NA,316,317,NA,NA,NA,2004,NA,NA,NA,NA,1
13,P013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Backfrieder, C.; Ostermayer, G.; Mecklenbrauker, C. F.",NA,NA,NA,TraffSim - A traffic simulator for investigations of congestion minimization through dynamic vehicle rerouting,NA,NA,ResearchGate,15,4,38,47,NA,NA,Aug.,2014,NA,NA,NA,NA,2
1310,P013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Backfrieder, C.; Ostermayer, G.; Mecklenbrauker, C. F.",NA,NA,NA,TraffSim - A traffic simulator for investigations of congestion minimization through dynamic vehicle rerouting,NA,NA,ResearchGate,15,4,38,47,NA,NA,Aug.,2014,NA,NA,NA,NA,2
14,P014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bako-Biro, Z.; Kochhar, N.; Clements-Croome, D.J.; Awbi, H.B.; Willianis, M.",NA,NA,NA,Ventilation Rates in Schools and Learning Performance,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
15,P015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Zhan, Jianfeng",NA,NA,NA,NA,NA,NA,"Big Data Benchmarks, Performance Optimization, and Emerging Hardware: 4th and 5th Workshops",NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
16,P016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bandyopadhyay, A. K.",NA,NA,NA,Generalized Thevenins ' theorem and its proof,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.3332.5605,Apr. 24,2015,NA,NA,NA,NA,1
17,P017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bartram, J.",NA,NA,NA,"Water quality: guidelines, standards, and health: assessment of risk and risk management for water-related infectious disease",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,1
18,P018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Basam, Venkata R; Ravi Kumar, G",NA,NA,NA,NA,NA,NA,Evolutionary Approach Based Design of BLDC Motor controller with H8 Objectives,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,1
19,P019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Basawapatna, A. R.; Repenning, A.; Lewis, C. H.",NA,NA,NA,The simulation creation toolkit: An initial exploration into making programming accessible while preserving computational thinking,NA,NA,ResearchGate,NA,NA,501,506,NA,NA,NA,2013,NA,NA,NA,NA,1
20,P020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Basrah, J.",NA,NA,NA,Vibration Analysis and Diagnostic Guide,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,December,2016,NA,NA,NA,NA,1
21,P021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bastian, M.; Heymann, S.; Jacomy, M.",NA,NA,NA,Gephi: An Open Source Software for Exploring and Manipulating Networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
22,P022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bentaha, M. L.; Dolgui, A.; Battaia, O.",NA,NA,NA,Problem Instances I Have Used in the Numerical Experiments of My Work on Disassembly Line Design and Balancing under Uncertainty,NA,NA,Researchgate,1,NA,1,14,NA,DOI 10.13140/RG.2.1.5163.5043,NA,2015,NA,NA,NA,NA,1
23,P023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bhagawati, A.; Chutia, R.",NA,NA,NA,Design of Single Channel Portable EEG Signal Acquisition System for Brain Computer Interface Application,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
24,P024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bhattacharyya, A. S.; Gaurav, K.; Kommu, P. Y.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/RG.2.1.5077.8082,NA,2015,NA,NA,NA,NA,1
25,P025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bhavanani, AB",NA,NA,NA,Yoga for health in children,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
26,P026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Binol, H.; Uslu, F.; Bal, A.",NA,NA,NA,Unsupervised Nonlinear Feature Extraction Method And Its Effects On Target Detection In High-Dimensional Data,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
27,P027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bishop, A.; Henkel, D. J.",NA,NA,NA,The Measurement of Soil Properties in the Triaxial Test,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,1957,NA,NA,NA,NA,1
28,P028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bobadila, R.; Berr, A.",NA,NA,NA,Histone Methylation-A corertone for plant responses to environmental stresses?,NA,NA,ResearchGate,NA,NA,31,61,NA,NA,NA,2016,NA,NA,NA,NA,1
29,P029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Boehm, B. W.",NA,NA,NA,Some Future Software Engineering Opportunities and Challenges,NA,NA,ResearchGate,NA,NA,1,32,NA,NA,NA,2010,NA,NA,NA,NA,1
30,P030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bollen, K. A.; Jackman, R. W.",NA,NA,NA,Regression diagnos-tics: an expository treatment of outliers and influential cases,NA,NA,ResearchGate,13,NA,510,542,NA,NA,NA,1990,NA,NA,NA,NA,1
31,P031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Boyd, Danah",NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,3
319,P031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Boyd, Danah",NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,3
3110,P031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Boyd, Danah",NA,NA,NA,"Social Network Sites as Networked Publics: Affordances, Dynamics, and Implications",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,3
32,P032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,BRADBURY IR,NA,NA,NA,NA,NA,NA,RESEARCHGATE,340,NA,245,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
33,P033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Brocca, L.; Ciabatta, L.; Massari, C.; Hahn, S.; Wagner, W.",NA,NA,NA,SM2RAIN-ASCAT (1 Jan 2007-30 June 2015) global daily rainfall dataset,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.4434.8563,NA,2016,NA,NA,NA,NA,1
34,P034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Brunick, KL; Cutting, JE",NA,NA,NA,"Coloring the animated world, Exploring human color perception and preference through the animated film",NA,NA,ResearchGate,43,2,41,45,NA,NA,NA,2016,NA,NA,NA,NA,1
35,P035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Camara, F.; Hormigo, T.",NA,NA,NA,A Hybrid Camera-Lidar Hazard Detection and Avoidance System for Lunar Landing,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
36,P036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Cameron, G.",NA,NA,NA,Innovation and Growth: A Survey of the Empirical Evidence,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,1998,NA,NA,NA,NA,1
37,P037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"CAMPUZANO, R.",NA,NA,NA,Evaluacion del periodo de espera voluntario en vacas especializadas en produccion de leche,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
38,P038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Champlain, A. F. D.; Gessaroli, M. E.; Tang, K. L.; Champlain, J. E. D.",NA,NA,NA,Assessing the dimensionality of polytomous item responses with small sample sizes and short test lengths: A comparison of procedures,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,1
39,P039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chaslot, G; Bakkes, S; Szita, I; Spronck, P",NA,NA,NA,Monte-Carlo Tree Search: A New Framework for Game AI,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
40,P040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chatterjee, N.; Bhattacharjee, B.; Chatterjee, N.",NA,NA,NA,"Quantitative study on the impact of the seasonal change in the aquatic physicochemical parameters on zooplankton population density in Saheb bandh, Purulia, West Bengal, India",NA,NA,ResearchGate,NA,NA,11,19,NA,NA,NA,2015,NA,NA,NA,NA,1
41,P041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chen, G. Z.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
42,P042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chen, Yen-Liang; Chiang, Mei-Ching; Ko, Ming-Tat",NA,NA,NA,Discovering time-interval sequential patterns in sequence databases,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,1
43,P043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,515,515,NA,NA,NA,2010,NA,NA,NA,NA,1
44,P044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chiejina, E.",NA,NA,NA,A Dynamic Reputation Management System for Mobile Adhoc Networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
45,P045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.",NA,NA,NA,History and applications of hydrogels,NA,NA,ResearchGate,4,2,13,23,NA,NA,1-Dec,2015,NA,NA,NA,NA,2
451,P045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Chirani, N.; Yahia, L.; Gritsch, L.; Motta, F.L.; Chirani, S.; Fare, S.",NA,NA,NA,History and applications of hydrogels,NA,NA,ResearchGate,4,2,13,23,NA,NA,1-Dec,2015,NA,NA,NA,NA,2
46,P046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Clifford, M. N.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/RG.2.2.21311.71848,NA,2017,NA,NA,NA,NA,2
461,P046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Clifford, M. N.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/RG.2.2.21311.71848,NA,2017,NA,NA,NA,NA,2
47,P047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Coban, O.; Ozyer, B.; Ozyer, G. T.",NA,NA,NA,Sentiment Analysis for Turkish Twitter Feeds,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
48,P048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Crippen, G.; Havel, T. F.",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,1
49,P049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dabiri, JO; Gharib, M",NA,NA,NA,The role of optimal vortex formation in biological fluid transport,NA,NA,ResearchGate,272,1572,1557,1560,NA,NA,NA,NA,NA,NA,NA,NA,1
50,P050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Daemen, J.; Rijmen, V.",NA,NA,NA,Resistance against implementation attacks A comparative study of the AES proposals,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
51,P051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dat, L.D.; Thao, N.P.; Luyen, B.T.T.; Tai, B.H.; Jeong, M.H.; Woo, M.H.; Kim, Y.H.",NA,NA,NA,Identification of six new lupane-type triterpenoids from Acanthopanax koreanum leaves and their tyrosinase inhibitory activities,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
52,P052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"de Camargo, MBP; Hubbard, KG",NA,NA,NA,Drought sensitivity indices for a sorghum crop,NA,NA,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,NA,NA,APR-JUN 1999,1999,NA,NA,NA,NA,5
521,P052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"de Camargo, MBP; Hubbard, KG",NA,NA,NA,Drought sensitivity indices for a sorghum crop,NA,NA,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,NA,NA,APR-JUN 1999,1999,NA,NA,NA,NA,5
522,P052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"de Camargo, MBP; Hubbard, KG",NA,NA,NA,Drought sensitivity indices for a sorghum crop,NA,NA,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,NA,NA,APR-JUN 1999,1999,NA,NA,NA,NA,5
523,P052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"de Camargo, MBP; Hubbard, KG",NA,NA,NA,Drought sensitivity indices for a sorghum crop,NA,NA,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,NA,NA,APR-JUN 1999,1999,NA,NA,NA,NA,5
524,P052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"de Camargo, MBP; Hubbard, KG",NA,NA,NA,Drought sensitivity indices for a sorghum crop,NA,NA,JOURNAL OF PRODUCTION AGRICULTURE,12,2,312,316,NA,NA,APR-JUN 1999,1999,NA,NA,NA,NA,5
53,P053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"De, R.; Mahapatra, R. P.; Chakraborty, P. S.",NA,NA,NA,Exploring and Expanding the World of Artificial Intelligence,NA,NA,ResearchGate,NA,NA,NA,NA,NA,DOI 10.5120/IJCA2016907802,January,2016,NA,NA,NA,NA,1
54,P054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"De Bruin, H.; Wang, J.",NA,NA,NA,Scintillometry: a review,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
55,P055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dzmbeg-Malcic, V.; Barbaric-Mikocvic, Z.; Itric, K.",NA,NA,NA,Kubelka-Munk theory in describing optical properties of paper (I),NA,NA,ResearchGate,19,NA,191,196,NA,NA,NA,2012,NA,NA,NA,NA,1
56,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
561,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
562,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
563,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
564,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
565,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
566,P056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Denfeld, Blaize A.; Wallin, Marcus B.; Sahlee, Erik; Sobek, Sebastian; Kokic, Jovana; Chmiel, Hannah E.; Weyhenmeyer, Gesa A.",NA,NA,NA,Temporal and spatial carbon dioxide concentration patterns in a small boreal lake in relation to ice-cover dynamics,NA,NA,BOREAL ENVIRONMENT RESEARCH,20,6,679,692,NA,NA,DEC 18 2015,2015,NA,NA,NA,NA,7
