PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Almeida, MM								Human Resources for Health in Brazil								Research Gate.											10.13140/2.1.3749.5360				2014										1									
J	Ardron, J. A.; Wallace, S.								Modelling inshore rockfish habitat in British Columbia: A pilot study								Research Gate															2015										1									
J	Belforte, P.																Research gate															2016										1									
J	Bukenya, F.; Kiweewa, A.; Bai, L.								A Review of Vessel Segmentation Techniques								Research Gate															2017										1									
J	Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith			IEEE					Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges								IEEE Engineering in Medicine and Biology Society Conference Proceedings								1835	1838		10.1109/IEMBS.2011.6090522			2011	2011						33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)	AUG 30-SEP 03, 2011	IEEE; Engn Med & Biol Soc (EMBS)	Boston, MA	10									
J	Roschek, T; Apolloni, M; Braga, A; Brunner, A; Caglar, O; Cashmore, JS; Cervetto, V; Fenner, Y; Gaucker, J; Hotzel, JE; Janot, R; Kalas, J; Keller, K; Krull, S; Kugler, E; Leu, G-F; Lindic, M-H; Losio, PA; Mates, T; Mereu, B; Psimoulis, I; Roth, F; Ristau, S; Salabas, A; Salabas, EL; Sinicco, I								MICROMORPH<SUP>&TRADE;</SUP>Technology: introduction and the path to record efficiencies								Research Gate											10.13140/RG.2.1.1628.8804				2015										1									
J	Schallert, T; Woodlee, MT; Fleming, SM								Disentangling multiple types of recovery from brain injury								Research Gate								201	216						2000										1									
J	Schmidt, M.; Aschwanden, J.; Liechti, F.; Nemeth, E.; Probst, R.; Rossler, M.; Schauer, C.; Denner, M.; Wichmann, G.								V.i.A - Vogelzug im Alpenraum								Research Gate											DOI 10.13140/RG.2.2.19922.96963				2016										1									
J	Schulz, J. F.								The churches' bans on consanguineous marriages, kinnetworks and democracy								Research Gate															2017										2									
J	Schwarz, I G; Kovacevic, S; Kos, I.								Physical-mechanical properties of automotive textile materials								Research Gate								11	11						2015										1									
J	Shafique, N. A.; Fulk, F.; Autrey, B. C.; Flotemersch, J.								Hyperspectral remote sensing of water quality parameters for large rivers in the Ohio River basin								Research Gate.								216	221						2003										5									
J	de Vos, P. J. Sicco																Research Gate															2015										1									
J	Sirjani, Reza; Mohamed, Azah; Shareef, Hussain								Heuristic Optimization Techniques to Determine Optimal Capacitor Placement and Sizing in Radial Distribution Networks: A Comprehensive Review								PRZEGLAD ELEKTROTECHNICZNY				88	7A			1	7					2012	2012										15									
J	Stark, G.								Three Killer Graphics								Research Gate															2014										1									
J	Steenbruggen, J.; Borzacchiello, M.T.; Nijkamp, P.; Scholten, H								Real-Time Data from Mobile Phone Networks for Urban Incidence and Traffic Management-A Review of Applications and Opportunities								Research Gate																									1									
J	Tripathia, R. M.; Shrivastava, A.; Kumar, N.; Bhadwaib, A. S.; Kumar, R.; Guptab, R. P.; Shrivastavad, B. R.																Research Gate																									1									
J	Trotteyn, M. J.								Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas								Research Gate															2015										1									
J	Tsaknaki, V; Fernaeus, Y; Schaub, M								Leather as a material for crafting interactive and physical artifacts								Research Gate				05				5	14						2014										1									
J	Vojvodic, Svetlana; Popovic, Stevan; Macukanovic-Golubovic, Lana								[Implications of HLA linkage disequilibrium phenomenon in finding unrelated volunteer bone marrow donors].								Medicinski pregled				60	3-4			178	82					2007 Mar-Apr	2007										1									
J	Woodward, E.; Jagdev, S.; McParland, L.; Clark, K.; Gregory, W.; Newsham, A.								Skeletal complications and survival in renal cancer patients with bone metastases								Research Gate				48	1			1606	1606						2011										1									
J	[Anonymous]								A surey towards understanding residential prosumers in smart grid neighbouhoods								Research Gate															2012										1									
