PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Hong, Jooheon							이대훈	Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic			우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과				한국식품영양과학회지	Journal of the Korean Society of Food Science and Nutrition				44	5			673	680					2015	2015										2									
J	Lee, S.; Nam, K.; Kim, K.																Researchgate															2004										1									
J	Labruto, R.; Leroux, C																A green paper on legal issues in robotics															2013										1									
J	Li, G. W. Jia																ResearchGate								4781	4781						2007										1									
J	Li, L; Luo, Y								Improved Video Moving Target Tracking Based on Camshift								ResearchGate				3	2			8	15						2016										1									
J	Lim, S.-J.; Jeong, Y.-Y.; Lee, C.-W.; Ho, Y.-S.								Automatic segmentation of the liver in CT images using the watershed algorithm based on morphological filtering								ResearchGate														(May) (	2004										1									
J	LIN H																RESEARCHGATE				6				270			DOI 10.1177/1555412010364981				2011										1									
J	Linden, PF; Turner, JS								The formation of optimal vortex rings, and the efficiency of propulsion devices								ResearchGate				427				61	72																1									
J	Liste, H.-H.; Felgentreu, D.								Crop growth, culturable bacteria, and degradation of petrol hydrocarbons (PHCs) in a long-term contaminated field soil								ResearchGate															2006										1									
J	Liu, B.; Wildman, R.; Tuck, C.; Ashcroft, I.; Hague, R.								Investigaztion the effect of particle size distribution on processing parameters optimisation in selective laser melting process								ResearchGate														Jan.	2011										1									
J	Liwicki, M.; Graves, A.; Bunke, H.								A novel approach to online handwriting recognition based on bidirectional long shortterm memory networks								ResearchGate															2012										1									
J	Lopez-Lazaro, M.																Pancreatic cancer formation is gradual															2017										1									
J	Lopez-Lazaro, M								Understanding cancer: 15 questions and answers								ResearchGate															2016										1									
J	Lujan-Tangarife, J. A.; Cardona-Arias, J. A.								Construction and validation of measurement scales in health: a review of psychometric properties								ResearchGate				11				1	10						2015										1									
J	Margolin, L.																ResearchGate				1				1	28						2013										1									
J	Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter								Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces								SURFACE & COATINGS TECHNOLOGY				201	3-4			1282	1288		10.1016/j.surfcoat.2006.01.062			OCT 5 2006	2006										11									
J	Marquardt, W.																Traveling Waves in Chemical Processes				30	4			585	606						1990										1									
J	Martinez, F.; Juanatey, B.								The challenge of the strategy in its adaptation to the emerging phenomenon of Netcomunicacion								ResearchGate					14			37	55						2010										1									
J	Mateljevic, M.								Note on rigidty of holomorphic mappings & Schwarz and Jack lemma								ResearchGate														September	2015										1									
J	Mathers, C.; Loncar, D								Projections of Global Mortality and Burden of Disease from 2002 to 2030								ResearchGate				31	110										2006										1									
J	Matveev, V								What is your opinion on this paper?								Researchgate															2014										1									
J	Mayalarp, V.; Limpaswadpaisarn, N.; Poombansao, T.; Kittipiyakul, S.								Wireless mesh networking with xbee								ResearchGate														10	2014										1									
J	McRobie, A																Rankine reciprocals with zero bars															2017										3									
J	Mehryar, N.; Ron, W.; Tek, M. N.								The Use of Virtual Reality in Education								ResearchGate														September	2004										1									
J	Meier, ML								Using X-ray diffraction to measure changes in unit cell dimensions due to alloying								ResearchGate															2004										2									
J	Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.								Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study								JOURNAL OF INVESTIGATIVE DERMATOLOGY				134				S30	S30					SEP 2014	2014						44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)	SEP 10-13, 2014	European Soc Dermatol Res	Copenhagen, DENMARK	9									
J	Michael, M. M.; Scott, M. L.								Correction of a Memory Manage-ment Method for Lock-Free Data Structures								ResearchGate														Mar.	1996										1									
J	Milligan, M.								Operating Reserves and Wind Power Integration: An International Comparison; Preprint								ResearchGate														Jan	2010										1									
J	Mishra, R. K.								Soil pollution: Causes, effects and control								ResearchGate				3	1									January	2016										1									
J	Moffat, A. F. J.								A Theoretical Investigation of Focal Stellar Images in the Photographic Emulsion and Application to Photographic Photometry								ResearchGate				3				455	455						1969										1									
J	Muazzam, A.; Siddiqui, E.-S.; Mostafa, A. Saleh; Bagais								Extraction and Visualization of the Chain of Narrators from Hadiths using Named Entity Recognition and Classification								ResearchGate				5	1									Apr.	2014										1									
J	Na, K; Chaves, A; Pellegrino, JP								A simple device for quantitative stool thick-smear technique in Schistomiasis mansoni								ResearchGate				14				397	400						1971										1									
J	Namiki, M.; Ueda, M.; Todoroki, A.; Hirano, Y.; Matsuzaki, R.								3D printing of continuous fiber reinforced plastic								ResearchGate														Jan.	2014										1									
J	Naranjo-Madrigal, H.								Bajos Pesqueros en el Pacifico Norte de Costa Rica: Importancia ecologi-ca e implicaciones socio-economicas y de manejo								Researchgate. net.											10.13140/RG.2.1.4326.2965				2016										1									
J	Newman, Mark W.								Now We're Cooking: Recipes for End- User Service Composition in the Digital Home								ResearchGate																									1									
J	Ng, K.H.; Faust, O.; Sudarshan, V.; Chattopadhyay, S.								Data overloading in medical imaging: emerging issues, challenges and opportunities in efficient data management								ResearchGate				5	4									August	2015										1									
J	Nizar, M. A.								THE EFFECT OF TOURISM TO ECONOMIC GROWTH IN INDONESIA								ResearchGate															2015										1									
J	Norman, L; Thomas, DN								Long-term storage of riverine dissolved organic carbon. Technical note								ResearchGate.											10.13140/2.1.3331.5200				2014										1									
J	Norman, L.; Thomas, D. N.								Long-term storage of riverine dissolved organic carbon, Technical note								Researchgate											10.13140/2.1.3331.5200				2014										1									
J	Nzihou, Ange; Stanmore, B. R.								The Formation of Aerosols During the Co-combustion of Coal and Biomass								WASTE AND BIOMASS VALORIZATION				6	6			947	957		10.1007/s12649-015-9390-3			DEC 2015	2015										2									
J	Oetzel, M.; Heger, G.; Koslowski, T.								Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20								ResearchGate				53				254	361						2000										1									
J	Omboni, S.; Isasti, G.								How to Measure Interbeat Interval in Human Patients								ResearchGate														Jan. 18,	2013										1									
J	O'Reilly-Shah, V; Mackey, S																ResearchGate															2011										1									
J	Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.								Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation								ResearchGate															2005										1									
J	Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.								Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III								ResearchGate								8	19						2014										1									
J	Payne, H. J.								Models of Freeway Traffic and Control								Research Gate				28				51	61					Jan.	1971										1									
J	Perera, A. S.; Perrizo, W.								Gene Function Prediction								ResearchGate								26	31						2009										1									
J	Petch, N.J.								The cleavage strength of polycrystals								ResearchGate				173				25	28						1953										1									
J	Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A								Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant								ResearchGate				4											2002										1									
J	Popova, NA; Sheka, EF								Mechanochemical reaction in graphane under uniaxial tension								Researchgate															2011										1									
J	Prahallad, Kishore; Sangal, Rajeev								A Data-Driven Synthesis Approach for Indian Languages using Syllable as aBasic Unit								ResearchGate														January	2002										1									
J	Prahl, S.								Optical property measurements using the inverse adding- doubling program								Researchgate														March	1995										1									
J	Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J								Trajectory of body weight of performance tested dual-purpose bulls.								ResearchGate				52											2007										1									
J	Qi, F; Shi, X-T; Liu, F-F; Yang, Z-H								A double inequality for an integral mean in terms of the exponential and logarithmic means								ResearchGate											10.13140/RG.2.1.2353.6800				2015										1									
J	Rabin, M.O.; Thorpe, C.								Time-laspe cryptography								ResearchGate								1	16						2007										1									
J	Racuciu, M																Researchgate				2015											2016										1									
J	Rao, J. G.; Zhang, Y. S.; Fokas, A. S.; He, J. S.								Rogue waves of the nonlocal Davey-Stewartson I equation								ResearchGate															2017										1									
J	[Anonymous]								Improvement of contusive spinal cord injury in rats by co- transplantation of gamma- aminobutyric acidergic cells and bone marrow stromal cells								ResearchGate																									1									
J	[Anonymous]								Academic paper insights: Investment decision making by using fuzzy candlestick pattern and genetic algorithm								ResearchGate																									1									
J			ResearchGate														ResearchGate															2008										1									
